row_id,column,value,confidence,source
533,HospitalName,baptist medical center south,1.0000,baran_raha
27,HospitalName,southeast alabama medical center,1.0000,baran_raha
132,HospitalName,crenshaw community hospital,1.0000,baran_raha
172,HospitalName,marshall medical center north,1.0000,baran_raha
244,HospitalName,dekalb regional medical center,1.0000,baran_raha
338,HospitalName,flowers hospital,1.0000,baran_raha
385,HospitalName,univ of south alabama medical center,1.0000,baran_raha
386,HospitalName,univ of south alabama medical center,1.0000,baran_raha
449,HospitalName,alaska regional hospital,1.0000,baran_raha
561,HospitalName,jackson hospital & clinic inc,1.0000,baran_raha
655,HospitalName,wedowee hospital,1.0000,baran_raha
698,HospitalName,community hospital inc,1.0000,baran_raha
711,HospitalName,community hospital inc,1.0000,baran_raha
731,HospitalName,cullman regional medical center,1.0000,baran_raha
759,HospitalName,andalusia regional hospital,1.0000,baran_raha
766,HospitalName,andalusia regional hospital,1.0000,baran_raha
778,HospitalName,huntsville hospital,1.0000,baran_raha
904,HospitalName,riverview regional medical center,1.0000,baran_raha
922,HospitalName,riverview regional medical center,1.0000,baran_raha
923,HospitalName,riverview regional medical center,1.0000,baran_raha
939,HospitalName,georgiana hospital,1.0000,baran_raha
957,HospitalName,medical center enterprise,1.0000,baran_raha
963,HospitalName,medical center enterprise,1.0000,baran_raha
988,HospitalName,st vincents blount,1.0000,baran_raha
533,HospitalType,acute care hospitals,1.0000,baran_raha
17,HospitalType,acuxe care hospixals,1.0000,baran_raha
40,HospitalType,acxte care hospitals,1.0000,baran_raha
99,HospitalType,acute care hospitals,1.0000,baran_raha
200,HospitalType,acute care hospitals,1.0000,baran_raha
214,HospitalType,acutx carx hospitals,1.0000,baran_raha
267,HospitalType,acuxe care hospixals,1.0000,baran_raha
281,HospitalType,acute care hospitals,1.0000,baran_raha
294,HospitalType,acuxe care hospixals,1.0000,baran_raha
412,HospitalType,acute care hospitals,1.0000,baran_raha
414,HospitalType,acuxe care hospixals,1.0000,baran_raha
454,HospitalType,acute care hospitaxs,1.0000,baran_raha
491,HospitalType,acute caxe hospitals,1.0000,baran_raha
494,HospitalType,acute care hxspitals,1.0000,baran_raha
498,HospitalType,acutx carx hospitals,1.0000,baran_raha
512,HospitalType,acuxe care hospixals,1.0000,baran_raha
589,HospitalType,acuxe care hospixals,1.0000,baran_raha
635,HospitalType,acuxe care hospixals,1.0000,baran_raha
696,HospitalType,acute cxre hospitxls,1.0000,baran_raha
706,HospitalType,acute care hospitals,1.0000,baran_raha
730,HospitalType,acute care hospitals,1.0000,baran_raha
780,HospitalType,acute care hospitals,1.0000,baran_raha
783,HospitalType,acute care hospitaxs,1.0000,baran_raha
815,HospitalType,axute care hospitals,1.0000,baran_raha
849,HospitalType,acute caxe hospitals,1.0000,baran_raha
878,HospitalType,acute care hoxpitalx,1.0000,baran_raha
903,HospitalType,acute care hospitals,1.0000,baran_raha
927,HospitalType,acuxe care hospixals,1.0000,baran_raha
950,HospitalType,acute care hospitals,1.0000,baran_raha
957,HospitalType,acute xare hospitals,1.0000,baran_raha
965,HospitalType,acute care hospitals,1.0000,baran_raha
977,HospitalType,acute care hospitals,1.0000,baran_raha
533,MeasureName,pneumonia patients assessed and given influenza vaccination,1.0000,baran_raha
1,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1.0000,baran_raha
95,MeasureName,heart attack patients given aspirin at arrival,1.0000,baran_raha
112,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1.0000,baran_raha
120,MeasureName,heart attack patients given aspirin at arrival,1.0000,baran_raha
146,MeasureName,heart attack patients given aspirin at discharge,1.0000,baran_raha
211,MeasureName,pneumonia patients assessed and given influenza vaccination,1.0000,baran_raha
220,MeasureName,heart attack patients given aspirin at arrival,1.0000,baran_raha
257,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,1.0000,baran_raha
282,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,1.0000,baran_raha
291,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,1.0000,baran_raha
347,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,1.0000,baran_raha
381,MeasureName,heart attack patients given aspirin at discharge,1.0000,baran_raha
390,MeasureName,heart failure patients given smoking cessation advice/counseling,1.0000,baran_raha
474,MeasureName,heart failure patients given discharge instructions,1.0000,baran_raha
494,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.0000,baran_raha
508,MeasureName,pneumonia patients assessed and given influenza vaccination,1.0000,baran_raha
542,MeasureName,heart attack patients given aspirin at arrival,1.0000,baran_raha
546,MeasureName,heart attack patients given beta blocker at discharge,1.0000,baran_raha
563,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,1.0000,baran_raha
613,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,1.0000,baran_raha
651,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.0000,baran_raha
652,MeasureName,heart failure patients given smoking cessation advice/counseling,1.0000,baran_raha
673,MeasureName,heart attack patients given pci within 90 minutes of arrival,1.0000,baran_raha
706,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,1.0000,baran_raha
707,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s),1.0000,baran_raha
714,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1.0000,baran_raha
786,MeasureName,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.0000,baran_raha
803,MeasureName,heart attack patients given aspirin at arrival,1.0000,baran_raha
817,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,1.0000,baran_raha
894,MeasureName,pneumonia patients assessed and given influenza vaccination,1.0000,baran_raha
903,MeasureName,children who received reliever medication while hospitalized for asthma,1.0000,baran_raha
916,MeasureName,heart failure patients given smoking cessation advice/counseling,1.0000,baran_raha
998,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1.0000,baran_raha
533,Sample,87 patients,1.0000,baran_raha
134,Sample,87 patients,1.0000,baran_raha
235,Sample,87 patients,1.0000,baran_raha
317,Sample,87 patients,1.0000,baran_raha
483,Sample,87 patients,1.0000,baran_raha
503,Sample,87 patients,1.0000,baran_raha
555,Sample,87 patients,1.0000,baran_raha
581,Sample,87 patients,1.0000,baran_raha
669,Sample,87 patients,1.0000,baran_raha
873,Sample,87 patients,1.0000,baran_raha
973,Sample,87 patients,1.0000,baran_raha
257,Condition,pneumonia,1.0000,baran_raha
23,Condition,heart attack,1.0000,baran_raha
74,Condition,heart attack,1.0000,baran_raha
128,Condition,heart failure,1.0000,baran_raha
200,Condition,heart attack,1.0000,baran_raha
226,Condition,heart attack,1.0000,baran_raha
230,Condition,heart failure,1.0000,baran_raha
237,Condition,surgical infection prevention,1.0000,baran_raha
240,Condition,surgical infection prevention,1.0000,baran_raha
280,Condition,heart failure,1.0000,baran_raha
367,Condition,pneumonia,1.0000,baran_raha
370,Condition,pneumonia,1.0000,baran_raha
387,Condition,heart failure,1.0000,baran_raha
401,Condition,heart failure,1.0000,baran_raha
468,Condition,heart attack,1.0000,baran_raha
507,Condition,pneumonia,1.0000,baran_raha
600,Condition,heart failure,1.0000,baran_raha
609,Condition,surgical infection prevention,1.0000,baran_raha
632,Condition,pneumonia,1.0000,baran_raha
680,Condition,pneumonia,1.0000,baran_raha
699,Condition,heart failure,1.0000,baran_raha
713,Condition,surgical infection prevention,1.0000,baran_raha
717,Condition,heart attack,1.0000,baran_raha
734,Condition,surgical infection prevention,1.0000,baran_raha
852,Condition,surgical infection prevention,1.0000,baran_raha
