row_id,column,value,confidence,source
1,City,birmingham,1.0000,gpt4o_direct
2,City,birmingham,1.0000,gpt4o_direct
3,City,birmingham,1.0000,gpt4o_direct
4,City,birmingham,1.0000,gpt4o_direct
5,City,birmingham,1.0000,gpt4o_direct
6,City,birmingham,1.0000,gpt4o_direct
7,City,birmingham,1.0000,gpt4o_direct
8,City,birmingham,1.0000,gpt4o_direct
9,City,sheffield,1.0000,gpt4o_direct
10,City,sheffield,1.0000,gpt4o_direct
11,City,sheffield,1.0000,gpt4o_direct
12,City,sheffield,1.0000,gpt4o_direct
13,City,sheffield,0.8000,gpt4o_direct
14,City,sheffield,1.0000,gpt4o_direct
15,City,sheffield,1.0000,gpt4o_direct
16,City,sheffield,1.0000,gpt4o_direct
17,City,sheffield,1.0000,gpt4o_direct
18,City,sheffield,1.0000,gpt4o_direct
19,City,city: sheffield,1.0000,gpt4o_direct
20,City,dothan,1.0000,gpt4o_direct
21,City,dothan,1.0000,gpt4o_direct
22,City,dothan,1.0000,gpt4o_direct
23,City,dothan,1.0000,gpt4o_direct
24,City,dothan,1.0000,gpt4o_direct
25,City,dothan,1.0000,gpt4o_direct
26,City,dothan,1.0000,gpt4o_direct
27,City,dothan,1.0000,gpt4o_direct
28,City,dothan,1.0000,gpt4o_direct
29,City,dothan,1.0000,gpt4o_direct
30,City,dothan,1.0000,gpt4o_direct
31,City,dothan,1.0000,gpt4o_direct
32,City,dothan,1.0000,gpt4o_direct
33,City,dothan,1.0000,gpt4o_direct
34,City,dothan,1.0000,gpt4o_direct
35,City,dothan,1.0000,gpt4o_direct
36,City,dothan,1.0000,gpt4o_direct
37,City,dothan,1.0000,gpt4o_direct
38,City,dothan,1.0000,gpt4o_direct
39,City,dothan,1.0000,gpt4o_direct
40,City,dothan,1.0000,gpt4o_direct
41,City,dothan,1.0000,gpt4o_direct
42,City,dothan,1.0000,gpt4o_direct
43,City,dothan,1.0000,gpt4o_direct
44,City,dothan,1.0000,gpt4o_direct
45,City,boaz,1.0000,gpt4o_direct
46,City,boaz,1.0000,gpt4o_direct
47,City,boaz,1.0000,gpt4o_direct
48,City,boaz,1.0000,gpt4o_direct
49,City,boaz,1.0000,gpt4o_direct
50,City,boaz,1.0000,gpt4o_direct
1,State,al,1.0000,gpt4o_direct
2,State,al,0.8000,gpt4o_direct
3,State,AL,1.0000,gpt4o_direct
4,State,al,1.0000,gpt4o_direct
5,State,al,1.0000,gpt4o_direct
6,State,al,0.8000,gpt4o_direct
7,State,AL,0.8000,gpt4o_direct
8,State,al,1.0000,gpt4o_direct
9,State,AL,1.0000,gpt4o_direct
10,State,AL,1.0000,gpt4o_direct
11,State,al,1.0000,gpt4o_direct
12,State,AL,1.0000,gpt4o_direct
13,State,AL,1.0000,gpt4o_direct
14,State,AL,0.6000,gpt4o_direct
15,State,AL,1.0000,gpt4o_direct
16,State,AL,1.0000,gpt4o_direct
17,State,AL,1.0000,gpt4o_direct
18,State,AL,1.0000,gpt4o_direct
19,State,AL,1.0000,gpt4o_direct
20,State,al,0.8000,gpt4o_direct
21,State,al,0.8000,gpt4o_direct
22,State,al,0.8000,gpt4o_direct
23,State,al,1.0000,gpt4o_direct
24,State,AL,0.6000,gpt4o_direct
25,State,AL,1.0000,gpt4o_direct
26,State,al,1.0000,gpt4o_direct
27,State,AL,1.0000,gpt4o_direct
28,State,AL,1.0000,gpt4o_direct
29,State,AL,1.0000,gpt4o_direct
30,State,AL,1.0000,gpt4o_direct
31,State,AL,0.6000,gpt4o_direct
32,State,al,1.0000,gpt4o_direct
33,State,al,1.0000,gpt4o_direct
34,State,AL,1.0000,gpt4o_direct
35,State,AL,1.0000,gpt4o_direct
36,State,AL,1.0000,gpt4o_direct
37,State,AL,1.0000,gpt4o_direct
38,State,al,0.8000,gpt4o_direct
39,State,al,1.0000,gpt4o_direct
40,State,AL,0.8000,gpt4o_direct
41,State,AL,1.0000,gpt4o_direct
42,State,AL,1.0000,gpt4o_direct
43,State,AL,1.0000,gpt4o_direct
44,State,AL,0.8000,gpt4o_direct
45,State,al,1.0000,gpt4o_direct
46,State,al,0.8000,gpt4o_direct
47,State,AL,1.0000,gpt4o_direct
48,State,al,1.0000,gpt4o_direct
49,State,al,1.0000,gpt4o_direct
50,State,al,1.0000,gpt4o_direct
1,ProviderNumber,10018,1.0000,gpt4o_direct
5,ProviderNumber,10018,1.0000,gpt4o_direct
10,ProviderNumber,10019,1.0000,gpt4o_direct
9,ProviderNumber,10019,1.0000,gpt4o_direct
3,ProviderNumber,10018,1.0000,gpt4o_direct
11,ProviderNumber,10019,1.0000,gpt4o_direct
2,ProviderNumber,10018,1.0000,gpt4o_direct
6,ProviderNumber,10018,1.0000,gpt4o_direct
4,ProviderNumber,10018,1.0000,gpt4o_direct
7,ProviderNumber,10018,1.0000,gpt4o_direct
17,ProviderNumber,10019,1.0000,gpt4o_direct
19,ProviderNumber,10019,1.0000,gpt4o_direct
20,ProviderNumber,10001,1.0000,gpt4o_direct
16,ProviderNumber,10019,1.0000,gpt4o_direct
18,ProviderNumber,10019,1.0000,gpt4o_direct
23,ProviderNumber,10001,1.0000,gpt4o_direct
22,ProviderNumber,10001,1.0000,gpt4o_direct
14,ProviderNumber,provider_number: 1xx19,0.8000,gpt4o_direct
24,ProviderNumber,10001,1.0000,gpt4o_direct
27,ProviderNumber,10001,1.0000,gpt4o_direct
21,ProviderNumber,10001,1.0000,gpt4o_direct
25,ProviderNumber,10001,1.0000,gpt4o_direct
26,ProviderNumber,10001,1.0000,gpt4o_direct
30,ProviderNumber,10001,1.0000,gpt4o_direct
28,ProviderNumber,10001,1.0000,gpt4o_direct
32,ProviderNumber,10001,1.0000,gpt4o_direct
31,ProviderNumber,10001,1.0000,gpt4o_direct
33,ProviderNumber,10001,1.0000,gpt4o_direct
34,ProviderNumber,10001,1.0000,gpt4o_direct
36,ProviderNumber,10001,1.0000,gpt4o_direct
37,ProviderNumber,10001,1.0000,gpt4o_direct
42,ProviderNumber,10001,1.0000,gpt4o_direct
44,ProviderNumber,10001,1.0000,gpt4o_direct
43,ProviderNumber,10001,1.0000,gpt4o_direct
45,ProviderNumber,10005,1.0000,gpt4o_direct
35,ProviderNumber,10001,1.0000,gpt4o_direct
38,ProviderNumber,10001,1.0000,gpt4o_direct
40,ProviderNumber,10001,1.0000,gpt4o_direct
50,ProviderNumber,10005,1.0000,gpt4o_direct
39,ProviderNumber,10001,1.0000,gpt4o_direct
41,ProviderNumber,10001,1.0000,gpt4o_direct
48,ProviderNumber,10005,1.0000,gpt4o_direct
47,ProviderNumber,10005,1.0000,gpt4o_direct
55,ProviderNumber,10005,1.0000,gpt4o_direct
51,ProviderNumber,10005,1.0000,gpt4o_direct
52,ProviderNumber,10005,1.0000,gpt4o_direct
49,ProviderNumber,10005,1.0000,gpt4o_direct
58,ProviderNumber,10005,1.0000,gpt4o_direct
56,ProviderNumber,10005,1.0000,gpt4o_direct
54,ProviderNumber,10005,1.0000,gpt4o_direct
61,ProviderNumber,10005,1.0000,gpt4o_direct
63,ProviderNumber,10005,1.0000,gpt4o_direct
60,ProviderNumber,10005,1.0000,gpt4o_direct
62,ProviderNumber,10005,1.0000,gpt4o_direct
66,ProviderNumber,10005,1.0000,gpt4o_direct
46,ProviderNumber,x0005,1.0000,gpt4o_direct
65,ProviderNumber,10005,1.0000,gpt4o_direct
68,ProviderNumber,10005,1.0000,gpt4o_direct
71,ProviderNumber,10006,1.0000,gpt4o_direct
69,ProviderNumber,10005,1.0000,gpt4o_direct
64,ProviderNumber,10005,1.0000,gpt4o_direct
74,ProviderNumber,10006,1.0000,gpt4o_direct
73,ProviderNumber,10006,1.0000,gpt4o_direct
76,ProviderNumber,10006,1.0000,gpt4o_direct
67,ProviderNumber,10005,1.0000,gpt4o_direct
78,ProviderNumber,10006,1.0000,gpt4o_direct
70,ProviderNumber,10006,1.0000,gpt4o_direct
59,ProviderNumber,10005,1.0000,gpt4o_direct
81,ProviderNumber,10006,1.0000,gpt4o_direct
82,ProviderNumber,provider_number: 1000,1.0000,gpt4o_direct
79,ProviderNumber,10006,1.0000,gpt4o_direct
72,ProviderNumber,10006,1.0000,gpt4o_direct
57,ProviderNumber,10005,1.0000,gpt4o_direct
84,ProviderNumber,10006,1.0000,gpt4o_direct
75,ProviderNumber,10006,1.0000,gpt4o_direct
80,ProviderNumber,10006,1.0000,gpt4o_direct
89,ProviderNumber,10006,1.0000,gpt4o_direct
77,ProviderNumber,10006,1.0000,gpt4o_direct
83,ProviderNumber,10006,1.0000,gpt4o_direct
85,ProviderNumber,10006,1.0000,gpt4o_direct
88,ProviderNumber,10006,1.0000,gpt4o_direct
87,ProviderNumber,10006,1.0000,gpt4o_direct
92,ProviderNumber,10006,1.0000,gpt4o_direct
91,ProviderNumber,10006,1.0000,gpt4o_direct
95,ProviderNumber,10007,1.0000,gpt4o_direct
94,ProviderNumber,10006,1.0000,gpt4o_direct
98,ProviderNumber,10007,1.0000,gpt4o_direct
101,ProviderNumber,10007,1.0000,gpt4o_direct
100,ProviderNumber,10007,1.0000,gpt4o_direct
102,ProviderNumber,10007,1.0000,gpt4o_direct
99,ProviderNumber,10007,1.0000,gpt4o_direct
93,ProviderNumber,10006,1.0000,gpt4o_direct
97,ProviderNumber,10007,1.0000,gpt4o_direct
107,ProviderNumber,10007,1.0000,gpt4o_direct
105,ProviderNumber,10007,1.0000,gpt4o_direct
96,ProviderNumber,10007,1.0000,gpt4o_direct
104,ProviderNumber,10007,1.0000,gpt4o_direct
86,ProviderNumber,10006,1.0000,gpt4o_direct
112,ProviderNumber,10007,1.0000,gpt4o_direct
110,ProviderNumber,10007,1.0000,gpt4o_direct
109,ProviderNumber,10007,1.0000,gpt4o_direct
115,ProviderNumber,10007,1.0000,gpt4o_direct
106,ProviderNumber,10007,1.0000,gpt4o_direct
103,ProviderNumber,10007,1.0000,gpt4o_direct
117,ProviderNumber,10007,1.0000,gpt4o_direct
113,ProviderNumber,10007,1.0000,gpt4o_direct
108,ProviderNumber,10007,1.0000,gpt4o_direct
118,ProviderNumber,10007,1.0000,gpt4o_direct
114,ProviderNumber,10007,1.0000,gpt4o_direct
121,ProviderNumber,10008,1.0000,gpt4o_direct
123,ProviderNumber,10008,1.0000,gpt4o_direct
116,ProviderNumber,10007,1.0000,gpt4o_direct
124,ProviderNumber,10008,1.0000,gpt4o_direct
127,ProviderNumber,10008,1.0000,gpt4o_direct
111,ProviderNumber,10007,1.0000,gpt4o_direct
120,ProviderNumber,10008,1.0000,gpt4o_direct
126,ProviderNumber,10008,1.0000,gpt4o_direct
132,ProviderNumber,10008,1.0000,gpt4o_direct
129,ProviderNumber,10008,1.0000,gpt4o_direct
125,ProviderNumber,10008,1.0000,gpt4o_direct
131,ProviderNumber,10008,1.0000,gpt4o_direct
133,ProviderNumber,10008,1.0000,gpt4o_direct
128,ProviderNumber,10008,1.0000,gpt4o_direct
138,ProviderNumber,10008,1.0000,gpt4o_direct
139,ProviderNumber,10008,1.0000,gpt4o_direct
140,ProviderNumber,10008,1.0000,gpt4o_direct
134,ProviderNumber,10008,1.0000,gpt4o_direct
135,ProviderNumber,10008,1.0000,gpt4o_direct
143,ProviderNumber,10008,1.0000,gpt4o_direct
137,ProviderNumber,10008,1.0000,gpt4o_direct
141,ProviderNumber,10008,1.0000,gpt4o_direct
145,ProviderNumber,10009,1.0000,gpt4o_direct
144,ProviderNumber,10008,1.0000,gpt4o_direct
146,ProviderNumber,10009,1.0000,gpt4o_direct
136,ProviderNumber,10008,1.0000,gpt4o_direct
148,ProviderNumber,10009,1.0000,gpt4o_direct
142,ProviderNumber,10008,1.0000,gpt4o_direct
154,ProviderNumber,10009,1.0000,gpt4o_direct
152,ProviderNumber,10009,1.0000,gpt4o_direct
153,ProviderNumber,10009,1.0000,gpt4o_direct
151,ProviderNumber,10009,1.0000,gpt4o_direct
149,ProviderNumber,10009,1.0000,gpt4o_direct
158,ProviderNumber,10009,1.0000,gpt4o_direct
160,ProviderNumber,10009,1.0000,gpt4o_direct
161,ProviderNumber,10009,1.0000,gpt4o_direct
162,ProviderNumber,10009,1.0000,gpt4o_direct
150,ProviderNumber,10009,1.0000,gpt4o_direct
163,ProviderNumber,10009,1.0000,gpt4o_direct
165,ProviderNumber,10009,1.0000,gpt4o_direct
157,ProviderNumber,10009,1.0000,gpt4o_direct
155,ProviderNumber,10009,1.0000,gpt4o_direct
168,ProviderNumber,10009,1.0000,gpt4o_direct
170,ProviderNumber,10010,1.0000,gpt4o_direct
