row_id,column,value,confidence,source
4,City,birmingham,0.438186,holoclean
8,City,birmingham,0.438360,holoclean
11,City,sheffield,0.299380,holoclean
14,ProviderNumber,10019,0.161412,holoclean
17,HospitalType,acute care hospitals,0.578077,holoclean
25,PhoneNumber,3347938701,0.209831,holoclean
37,PhoneNumber,3347938701,0.454145,holoclean
40,HospitalType,acute care hospitals,0.549665,holoclean
45,ZipCode,35957,0.536498,holoclean
46,ProviderNumber,10005,0.348016,holoclean
47,State,al,0.685726,holoclean
51,State,al,0.660811,holoclean
57,City,boaz,0.520085,holoclean
58,Address1,2505 u s highway 431 north,0.464824,holoclean
61,PhoneNumber,2565938310,0.565762,holoclean
64,ZipCode,35957,0.557690,holoclean
66,PhoneNumber,2565938310,0.245474,holoclean
68,CountyName,marshall,0.636346,holoclean
71,ZipCode,35631,0.636068,holoclean
73,CountyName,lauderdale,0.581047,holoclean
78,CountyName,lauderdale,0.603396,holoclean
80,City,florence,0.490398,holoclean
82,ProviderNumber,10006,0.585627,holoclean
84,State,al,0.681841,holoclean
89,City,florence,0.511369,holoclean
95,Address1,702 n main st,0.468222,holoclean
99,HospitalType,acute care hospitals,0.650082,holoclean
99,State,al,0.703877,holoclean
102,PhoneNumber,3344933541,0.567717,holoclean
107,Address1,702 n main st,0.603498,holoclean
114,HospitalOwner,voluntary non-profit - private,0.481324,holoclean
120,State,al,0.612024,holoclean
137,CountyName,crenshaw,0.489552,holoclean
138,ZipCode,36049,0.416655,holoclean
140,ZipCode,36049,0.416658,holoclean
141,State,al,0.651318,holoclean
150,ZipCode,35640,0.255378,holoclean
158,ZipCode,35640,0.532140,holoclean
160,HospitalOwner,proprietary,0.448841,holoclean
162,Address1,201 pine street northwest,0.532515,holoclean
163,HospitalOwner,proprietary,0.407953,holoclean
165,HospitalOwner,proprietary,0.390708,holoclean
166,State,al,0.678054,holoclean
176,Address1,8000 alabama highway 69,0.287199,holoclean
181,City,guntersville,0.501411,holoclean
183,State,al,0.693127,holoclean
197,ZipCode,35235,0.370676,holoclean
208,City,birmingham,0.374911,holoclean
213,City,birmingham,0.433354,holoclean
214,HospitalType,acute care hospitals,0.488358,holoclean
217,CountyName,jefferson,0.631706,holoclean
218,PhoneNumber,2058383122,0.462687,holoclean
219,HospitalOwner,voluntary non-profit - private,0.433173,holoclean
222,CountyName,de kalb,0.480789,holoclean
222,HospitalOwner,voluntary non-profit - church,0.416385,holoclean
224,CountyName,de kalb,0.477584,holoclean
228,CountyName,de kalb,0.496617,holoclean
229,PhoneNumber,2568453150,0.500664,holoclean
233,ZipCode,35968,0.608738,holoclean
239,CountyName,de kalb,0.498947,holoclean
239,HospitalOwner,voluntary non-profit - church,0.412277,holoclean
245,ProviderNumber,10015,0.190487,holoclean
248,PhoneNumber,3346366221,0.276716,holoclean
253,CountyName,clarke,0.660006,holoclean
254,ProviderNumber,10015,0.459197,holoclean
261,Address1,33700 highway 43,0.596152,holoclean
262,PhoneNumber,3346366221,0.687933,holoclean
265,Address1,33700 highway 43,0.548483,holoclean
267,HospitalType,acute care hospitals,0.618118,holoclean
268,ZipCode,36784,0.523542,holoclean
274,ProviderNumber,10016,0.588988,holoclean
276,Address1,1000 first street north,0.684703,holoclean
279,State,al,0.695767,holoclean
281,HospitalType,acute care hospitals,0.542272,holoclean
284,ZipCode,35007,0.600969,holoclean
291,ZipCode,35007,0.576791,holoclean
294,HospitalType,acute care hospitals,0.529902,holoclean
296,Address1,1720 university blvd,0.414561,holoclean
312,City,anniston,0.500452,holoclean
313,CountyName,calhoun,0.587078,holoclean
314,HospitalOwner,proprietary,0.630197,holoclean
315,ProviderNumber,10038,0.627925,holoclean
317,Address1,301 east 18th st,0.702512,holoclean
322,PhoneNumber,2562358900,0.752130,holoclean
325,CountyName,calhoun,0.589006,holoclean
326,ZipCode,36201,0.650800,holoclean
333,ZipCode,36305,0.381415,holoclean
335,Address1,4370 west main street,0.574595,holoclean
341,ZipCode,36305,0.406863,holoclean
343,PhoneNumber,3347935000,0.508330,holoclean
347,CountyName,houston,0.699545,holoclean
357,HospitalOwner,proprietary,0.428414,holoclean
361,ProviderNumber,10086,0.179931,holoclean
364,Address1,1530 u s highway 43,0.574328,holoclean
367,ZipCode,35594,0.487008,holoclean
368,City,winfield,0.477066,holoclean
376,ZipCode,35594,0.226553,holoclean
387,State,al,0.607663,holoclean
403,State,al,0.693511,holoclean
407,ZipCode,36067,0.639597,holoclean
409,ProviderNumber,10108,0.354832,holoclean
412,Address1,124 s memorial dr,0.527882,holoclean
412,HospitalType,acute care hospitals,0.527824,holoclean
421,ZipCode,35150,0.241841,holoclean
429,ZipCode,35150,0.503551,holoclean
432,Address1,315 w hickory st,0.619825,holoclean
438,City,anchorage,0.528429,holoclean
450,HospitalOwner,proprietary,0.601713,holoclean
454,HospitalType,acute care hospitals,0.573174,holoclean
457,CountyName,jefferson,0.542262,holoclean
457,HospitalOwner,government - hospital district or authority,0.446928,holoclean
458,CountyName,jefferson,0.571777,holoclean
466,CountyName,jefferson,0.571876,holoclean
472,PhoneNumber,3347742601,0.520419,holoclean
473,Address1,126 hospital ave,0.298500,holoclean
475,City,ozark,0.491666,holoclean
478,State,al,0.585635,holoclean
