row_id,column,value,confidence,source
1,ibu,40,0.143886,holoclean
2,ibu,60,0.170189,holoclean
3,ibu,60,0.170413,holoclean
4,ibu,60,0.170119,holoclean
5,ibu,60,0.170640,holoclean
6,ibu,60,0.169817,holoclean
7,ibu,60,0.170123,holoclean
8,ibu,60,0.170052,holoclean
9,ibu,60,0.170247,holoclean
10,ibu,60,0.170131,holoclean
11,ibu,60,0.170693,holoclean
12,ibu,60,0.170003,holoclean
13,ibu,60,0.170005,holoclean
14,ibu,60,0.169922,holoclean
20,brewery_id,368,0.942022,holoclean_keep
20,city,san francisco,0.871331,holoclean_keep
20,ibu,17,0.094368,holoclean
20,state,ca,0.966724,holoclean_keep
21,brewery_id,368,0.951462,holoclean_keep
21,city,san francisco ca,0.874937,holoclean_keep
21,ibu,17,0.114022,holoclean
21,state,ca,0.396385,holoclean
22,brewery_id,368,0.943441,holoclean_keep
22,city,san francisco,0.876020,holoclean_keep
22,state,ca,0.968432,holoclean_keep
23,brewery_id,368,0.943180,holoclean_keep
23,city,san francisco,0.874227,holoclean_keep
23,state,ca,0.967302,holoclean_keep
24,brewery_id,368,0.942709,holoclean_keep
24,city,san francisco,0.873234,holoclean_keep
24,ibu,17,0.094311,holoclean
24,state,ca,0.967053,holoclean_keep
25,brewery_id,368,0.941870,holoclean_keep
25,city,san francisco,0.871905,holoclean_keep
25,state,ca,0.966803,holoclean_keep
26,brewery_id,368,0.942038,holoclean_keep
26,city,san francisco,0.872584,holoclean_keep
26,state,ca,0.966956,holoclean_keep
27,brewery_id,368,0.941880,holoclean_keep
27,city,san francisco,0.871954,holoclean_keep
27,state,ca,0.966805,holoclean_keep
28,brewery_id,368,0.942042,holoclean_keep
28,city,san francisco,0.872596,holoclean_keep
28,state,ca,0.966878,holoclean_keep
29,brewery_id,368,0.941366,holoclean_keep
29,city,san francisco,0.870565,holoclean_keep
29,state,ca,0.966741,holoclean_keep
30,brewery_id,368,0.941504,holoclean_keep
30,city,san francisco,0.870861,holoclean_keep
30,state,ca,0.966757,holoclean_keep
31,brewery_id,368,0.941504,holoclean_keep
31,city,san francisco,0.870861,holoclean_keep
31,state,ca,0.966713,holoclean_keep
32,brewery_id,368,0.942294,holoclean_keep
32,city,san francisco,0.872513,holoclean_keep
32,state,ca,0.966808,holoclean_keep
33,brewery_id,368,0.942963,holoclean_keep
33,city,san francisco,0.873865,holoclean_keep
33,state,ca,0.967072,holoclean_keep
34,brewery_id,368,0.941870,holoclean_keep
34,city,san francisco,0.871905,holoclean_keep
34,state,ca,0.966874,holoclean_keep
35,brewery_id,368,0.943566,holoclean_keep
35,city,san francisco,0.875008,holoclean_keep
35,state,ca,0.967394,holoclean_keep
36,brewery_id,368,0.941474,holoclean_keep
36,city,san francisco,0.870687,holoclean_keep
36,state,ca,0.966887,holoclean_keep
37,brewery_id,368,0.942020,holoclean_keep
37,city,san francisco,0.871976,holoclean_keep
37,state,ca,0.966692,holoclean_keep
38,brewery_id,368,0.941292,holoclean_keep
38,city,san francisco,0.870412,holoclean_keep
38,state,ca,0.966507,holoclean_keep
39,brewery_id,368,0.942042,holoclean_keep
39,city,san francisco,0.872596,holoclean_keep
39,state,ca,0.966948,holoclean_keep
41,ibu,10,0.603197,holoclean
42,ibu,82,0.182470,holoclean
43,brewery_id,60,0.963222,holoclean_keep
43,city,saint louis,0.954815,holoclean_keep
43,state,mo,0.963844,holoclean_keep
44,brewery_id,60,0.962297,holoclean_keep
44,city,saint louis,0.954137,holoclean_keep
44,state,mo,0.963284,holoclean_keep
45,brewery_id,60,0.962388,holoclean_keep
45,city,saint louis,0.953864,holoclean_keep
45,ibu,18,0.102384,holoclean
45,state,mo,0.963003,holoclean_keep
46,brewery_id,60,0.962302,holoclean_keep
46,city,saint louis,0.953691,holoclean_keep
46,ibu,18,0.102583,holoclean
46,state,mo,0.962922,holoclean_keep
47,brewery_id,60,0.940277,holoclean_keep
47,city,saint louis,0.920845,holoclean_keep
47,ibu,33,0.143014,holoclean
47,state,mo,0.987769,holoclean_keep
48,brewery_id,60,0.959187,holoclean_keep
48,city,saint louis mo,0.897917,holoclean_keep
48,ibu,11,0.333500,holoclean
48,state,mo,0.374548,holoclean
49,brewery_id,60,0.962326,holoclean_keep
49,city,saint louis,0.953676,holoclean_keep
49,ibu,18,0.102463,holoclean
49,state,mo,0.962924,holoclean_keep
50,brewery_id,60,0.962325,holoclean_keep
50,city,saint louis,0.953900,holoclean_keep
50,state,mo,0.963151,holoclean_keep
51,ibu,65,0.086402,holoclean
53,ibu,18,0.085048,holoclean
80,ibu,68,0.102866,holoclean
92,ibu,45,0.500012,holoclean
93,ibu,45,0.500804,holoclean
94,ibu,43,0.182449,holoclean
95,ibu,43,0.182789,holoclean
97,ibu,42,0.092056,holoclean
98,ibu,65,0.091841,holoclean
99,ibu,17,0.091850,holoclean
100,ibu,17,0.092180,holoclean
101,ibu,17,0.091611,holoclean
102,ibu,13,0.145749,holoclean
103,ibu,13,0.145739,holoclean
104,ibu,15,0.145827,holoclean
105,ibu,15,0.145522,holoclean
121,brewery_id,542,0.979998,holoclean_keep
121,city,hayward,0.841938,holoclean_keep
121,state,wi,0.939860,holoclean_keep
122,brewery_id,542,0.962205,holoclean_keep
122,city,hayward wi,0.966170,holoclean_keep
122,state,wi,0.283042,holoclean
123,ibu,42,0.077171,holoclean
124,ibu,42,0.077146,holoclean
125,ibu,42,0.077172,holoclean
126,ibu,25,0.335392,holoclean
127,ibu,25,0.336094,holoclean
128,ibu,25,0.335339,holoclean
135,brewery_id,426,0.963065,holoclean_keep
135,city,denton tx,0.966440,holoclean_keep
135,state,tx,0.284034,holoclean
136,brewery_id,426,0.961041,holoclean_keep
136,city,denton,0.814876,holoclean_keep
136,state,tx,0.941431,holoclean_keep
139,brewery_id,528,0.978338,holoclean_keep
139,city,asheville,0.876578,holoclean_keep
139,state,nc,0.952966,holoclean_keep
140,brewery_id,528,0.962448,holoclean_keep
140,city,asheville nc,0.944326,holoclean_keep
140,state,nc,0.320667,holoclean
141,brewery_id,528,0.977867,holoclean_keep
141,city,asheville,0.873916,holoclean_keep
141,state,nc,0.951980,holoclean_keep
151,brewery_id,72,0.962930,holoclean_keep
151,city,detroit,0.830645,holoclean_keep
151,state,mi,0.961507,holoclean_keep
152,brewery_id,72,0.961292,holoclean_keep
152,city,detroit,0.829369,holoclean_keep
152,state,mi,0.961569,holoclean_keep
153,brewery_id,72,0.962654,holoclean_keep
153,city,detroit,0.828863,holoclean_keep
153,ibu,12,0.258133,holoclean
153,state,mi,0.961384,holoclean_keep
154,brewery_id,72,0.962820,holoclean_keep
154,city,detroit,0.829734,holoclean_keep
154,state,mi,0.961235,holoclean_keep
155,brewery_id,72,0.962584,holoclean_keep
155,city,detroit,0.829917,holoclean_keep
155,state,mi,0.961503,holoclean_keep
156,brewery_id,72,0.956370,holoclean_keep
156,city,detroit mi,0.909549,holoclean_keep
156,state,mi,0.366303,holoclean
157,ibu,75,0.111734,holoclean
158,ibu,75,0.111404,holoclean
159,ibu,40,0.111354,holoclean
160,ibu,35,0.111732,holoclean
161,ibu,40,0.111476,holoclean
162,ibu,69,0.057560,holoclean
163,ibu,17,0.057285,holoclean
171,ibu,41,0.200007,holoclean
174,ibu,11,0.168566,holoclean
175,ibu,11,0.168609,holoclean
176,ibu,11,0.168571,holoclean
177,ibu,11,0.168713,holoclean
178,ibu,11,0.168450,holoclean
179,ibu,43,0.191258,holoclean
183,brewery_id,34,0.898937,holoclean_keep
183,city,san diego,0.846580,holoclean_keep
183,ibu,70,0.055106,holoclean
183,state,ca,0.961416,holoclean_keep
184,brewery_id,34,0.980242,holoclean_keep
184,city,san diego ca,0.910972,holoclean_keep
184,state,ca,0.365634,holoclean
185,brewery_id,34,0.899160,holoclean_keep
185,city,san diego,0.847611,holoclean_keep
185,state,ca,0.961427,holoclean_keep
186,brewery_id,34,0.899020,holoclean_keep
186,city,san diego,0.847531,holoclean_keep
186,state,ca,0.961637,holoclean_keep
187,brewery_id,34,0.899238,holoclean_keep
187,city,san diego,0.846848,holoclean_keep
187,ibu,75,0.054615,holoclean
187,state,ca,0.961564,holoclean_keep
188,brewery_id,34,0.899029,holoclean_keep
188,city,san diego,0.846679,holoclean_keep
188,state,ca,0.961724,holoclean_keep
189,ibu,45,0.500878,holoclean
194,ibu,60,0.530866,holoclean
204,ibu,35,0.250204,holoclean
206,ibu,42,0.250245,holoclean
207,ibu,28,0.250357,holoclean
208,ibu,35,0.250012,holoclean
209,ibu,42,0.250236,holoclean
218,ibu,11,0.168364,holoclean
219,ibu,11,0.168242,holoclean
220,ibu,11,0.168219,holoclean
221,ibu,11,0.168696,holoclean
222,ibu,11,0.168283,holoclean
223,ibu,11,0.168532,holoclean
225,ibu,27,0.500015,holoclean
227,brewery_id,75,0.962811,holoclean_keep
227,city,duluth,0.929093,holoclean_keep
227,ibu,38,0.200690,holoclean
227,state,mn,0.961120,holoclean_keep
228,brewery_id,75,0.963625,holoclean_keep
228,city,duluth,0.931050,holoclean_keep
228,state,mn,0.961513,holoclean_keep
229,brewery_id,75,0.963298,holoclean_keep
229,city,duluth,0.929500,holoclean_keep
229,state,mn,0.961407,holoclean_keep
230,brewery_id,75,0.960938,holoclean_keep
230,city,duluth,0.929474,holoclean_keep
230,state,mn,0.961229,holoclean_keep
231,brewery_id,75,0.960341,holoclean_keep
231,city,duluth mn,0.909845,holoclean_keep
231,state,mn,0.362432,holoclean
232,brewery_id,75,0.961892,holoclean_keep
232,city,duluth,0.929521,holoclean_keep
232,state,mn,0.961555,holoclean_keep
242,ibu,85,0.333353,holoclean
248,ibu,54,0.190917,holoclean
249,ibu,60,0.191221,holoclean
261,ibu,35,0.147620,holoclean
287,ibu,30,0.333380,holoclean
290,ibu,30,0.333549,holoclean
291,ibu,47,0.333662,holoclean
293,ibu,30,0.334660,holoclean
294,ibu,37,0.510498,holoclean
295,abv,0.055999999999999994%,0.085425,holoclean
295,ibu,37,0.511679,holoclean
296,ibu,37,0.512007,holoclean
297,ibu,37,0.509194,holoclean
298,ibu,37,0.511638,holoclean
299,ibu,37,0.510056,holoclean
300,abv,0.055999999999999994%,0.085686,holoclean
300,ibu,37,0.511665,holoclean
301,ibu,37,0.510351,holoclean
