row_id,column,value,confidence,source
1,id,1436,1.0000,jellyfish
2,id,2265,1.0000,jellyfish
3,id,2264,1.0000,jellyfish
4,id,2263,1.0000,jellyfish
5,id,2262,1.0000,jellyfish
6,id,2261,1.0000,jellyfish
7,id,2260,1.0000,jellyfish
8,id,2259,1.0000,jellyfish
9,id,2258,1.0000,jellyfish
10,id,2131,1.0000,jellyfish
11,id,2099,1.0000,jellyfish
12,id,2098,1.0000,jellyfish
13,id,2097,1.0000,jellyfish
14,id,1980,1.0000,jellyfish
15,id,1979,1.0000,jellyfish
16,id,2318,1.0000,jellyfish
17,id,2170,1.0000,jellyfish
18,id,2169,1.0000,jellyfish
19,id,1502,1.0000,jellyfish
20,id,1593,1.0000,jellyfish
21,id,1592,1.0000,jellyfish
22,id,1036,1.0000,jellyfish
23,id,1024,1.0000,jellyfish
24,id,976,1.0000,jellyfish
25,id,876,1.0000,jellyfish
26,id,802,1.0000,jellyfish
27,id,801,1.0000,jellyfish
28,id,800,1.0000,jellyfish
29,id,799,1.0000,jellyfish
30,id,797,1.0000,jellyfish
31,id,796,1.0000,jellyfish
32,id,531,1.0000,jellyfish
33,id,432,1.0000,jellyfish
34,id,353,1.0000,jellyfish
35,id,321,1.0000,jellyfish
36,id,173,1.0000,jellyfish
37,id,11,1.0000,jellyfish
38,id,10,1.0000,jellyfish
39,id,9,1.0000,jellyfish
40,id,2519,1.0000,jellyfish
41,id,2518,1.0000,jellyfish
42,id,2517,1.0000,jellyfish
43,id,2545,1.0000,jellyfish
44,id,2544,1.0000,jellyfish
45,id,2324,1.0000,jellyfish
46,id,2288,1.0000,jellyfish
47,id,2287,1.0000,jellyfish
48,id,2286,1.0000,jellyfish
49,id,2285,1.0000,jellyfish
50,id,1870,1.0000,jellyfish
51,id,2603,1.0000,jellyfish
52,id,2602,1.0000,jellyfish
53,id,2220,1.0000,jellyfish
54,id,2219,1.0000,jellyfish
55,id,2218,1.0000,jellyfish
56,id,2217,1.0000,jellyfish
57,id,2216,1.0000,jellyfish
58,id,972,1.0000,jellyfish
