row_id,column,value,confidence,source
1,ProviderNumber,10018,0.6993,jellyfish
2,ProviderNumber,10018,0.7744,jellyfish
3,ProviderNumber,10018,0.6705,jellyfish
4,ProviderNumber,10018,0.7068,jellyfish
5,ProviderNumber,10018,0.7945,jellyfish
6,ProviderNumber,10018,0.8032,jellyfish
7,ProviderNumber,10018,0.7130,jellyfish
8,ProviderNumber,10018,0.7698,jellyfish
9,ProviderNumber,10019,0.6568,jellyfish
10,ProviderNumber,10019,0.7663,jellyfish
11,ProviderNumber,10019,0.7364,jellyfish
12,ProviderNumber,10019,0.6917,jellyfish
13,ProviderNumber,10019,0.7439,jellyfish
14,ProviderNumber,1191,0.6864,jellyfish
15,ProviderNumber,10019,0.7235,jellyfish
16,ProviderNumber,10019,0.8152,jellyfish
17,ProviderNumber,10019,0.7920,jellyfish
18,ProviderNumber,10019,0.7479,jellyfish
19,ProviderNumber,10019,0.7043,jellyfish
20,ProviderNumber,10001,0.8047,jellyfish
21,ProviderNumber,10001,0.7802,jellyfish
22,ProviderNumber,10001,0.7510,jellyfish
23,ProviderNumber,10001,0.7757,jellyfish
24,ProviderNumber,10001,0.7156,jellyfish
25,ProviderNumber,10001,0.7820,jellyfish
26,ProviderNumber,10001,0.7833,jellyfish
27,ProviderNumber,10001,0.7783,jellyfish
28,ProviderNumber,10001,0.7810,jellyfish
29,ProviderNumber,10001,0.7774,jellyfish
30,ProviderNumber,10001,0.7779,jellyfish
31,ProviderNumber,10001,0.7806,jellyfish
32,ProviderNumber,10001,0.7864,jellyfish
33,ProviderNumber,10001,0.6480,jellyfish
34,ProviderNumber,10001,0.7735,jellyfish
35,ProviderNumber,10001,0.7833,jellyfish
36,ProviderNumber,10001,0.7709,jellyfish
37,ProviderNumber,10001,0.7861,jellyfish
38,ProviderNumber,10001,0.7583,jellyfish
39,ProviderNumber,10001,0.7566,jellyfish
40,ProviderNumber,10001,0.7501,jellyfish
41,ProviderNumber,10001,0.8054,jellyfish
42,ProviderNumber,10001,0.6898,jellyfish
43,ProviderNumber,10001,0.7599,jellyfish
44,ProviderNumber,10001,0.7762,jellyfish
45,ProviderNumber,10005,0.7989,jellyfish
46,ProviderNumber,x0005,0.6753,jellyfish
47,ProviderNumber,10005,0.6858,jellyfish
48,ProviderNumber,10005,0.8208,jellyfish
49,ProviderNumber,10005,0.6605,jellyfish
50,ProviderNumber,10005,0.7725,jellyfish
51,ProviderNumber,10005,0.7814,jellyfish
52,ProviderNumber,10005,0.7002,jellyfish
53,ProviderNumber,10005,0.6748,jellyfish
54,ProviderNumber,10005,0.8032,jellyfish
55,ProviderNumber,10005,0.7536,jellyfish
56,ProviderNumber,10005,0.7214,jellyfish
57,ProviderNumber,10005,0.7921,jellyfish
58,ProviderNumber,10005,0.7520,jellyfish
59,ProviderNumber,10005,0.7077,jellyfish
60,ProviderNumber,10005,0.7997,jellyfish
61,ProviderNumber,10005,0.8191,jellyfish
62,ProviderNumber,10005,0.7996,jellyfish
63,ProviderNumber,10005,0.7731,jellyfish
64,ProviderNumber,10005,0.8092,jellyfish
65,ProviderNumber,10005,0.8014,jellyfish
66,ProviderNumber,10005,0.8201,jellyfish
67,ProviderNumber,10005,0.6462,jellyfish
68,ProviderNumber,10005,0.7878,jellyfish
69,ProviderNumber,10005,0.7568,jellyfish
70,ProviderNumber,10006,0.7048,jellyfish
71,ProviderNumber,10006,0.7700,jellyfish
72,ProviderNumber,10006,0.6768,jellyfish
73,ProviderNumber,10006,0.6760,jellyfish
74,ProviderNumber,10006,0.7023,jellyfish
75,ProviderNumber,10006,0.7581,jellyfish
76,ProviderNumber,10006,0.7358,jellyfish
77,ProviderNumber,10006,0.7990,jellyfish
78,ProviderNumber,10006,0.6607,jellyfish
79,ProviderNumber,10006,0.7781,jellyfish
80,ProviderNumber,10006,0.7753,jellyfish
81,ProviderNumber,10006,0.8066,jellyfish
82,ProviderNumber,1000,0.7063,jellyfish
83,ProviderNumber,10006,0.7752,jellyfish
84,ProviderNumber,10006,0.7773,jellyfish
85,ProviderNumber,10006,0.6136,jellyfish
86,ProviderNumber,10006,0.6690,jellyfish
87,ProviderNumber,10006,0.7749,jellyfish
88,ProviderNumber,10006,0.6162,jellyfish
89,ProviderNumber,10006,0.7614,jellyfish
90,ProviderNumber,10006,0.8038,jellyfish
91,ProviderNumber,10006,0.7720,jellyfish
92,ProviderNumber,10006,0.7611,jellyfish
93,ProviderNumber,10006,0.7706,jellyfish
94,ProviderNumber,10006,0.7691,jellyfish
95,ProviderNumber,10007,0.6393,jellyfish
96,ProviderNumber,10007,0.8069,jellyfish
97,ProviderNumber,10007,0.6818,jellyfish
98,ProviderNumber,10007,0.7751,jellyfish
99,ProviderNumber,10007,0.7700,jellyfish
100,ProviderNumber,10007,0.7737,jellyfish
101,ProviderNumber,10007,0.6760,jellyfish
102,ProviderNumber,10007,0.8068,jellyfish
103,ProviderNumber,10007,0.7507,jellyfish
104,ProviderNumber,10007,0.7994,jellyfish
105,ProviderNumber,10007,0.7811,jellyfish
106,ProviderNumber,10007,0.7676,jellyfish
107,ProviderNumber,10007,0.6950,jellyfish
108,ProviderNumber,10007,0.8024,jellyfish
109,ProviderNumber,10007,0.6955,jellyfish
110,ProviderNumber,10007,0.7833,jellyfish
111,ProviderNumber,10007,0.7974,jellyfish
112,ProviderNumber,10007,0.6855,jellyfish
113,ProviderNumber,10007,0.7618,jellyfish
114,ProviderNumber,10007,0.7628,jellyfish
115,ProviderNumber,10007,0.7782,jellyfish
116,ProviderNumber,10007,0.6922,jellyfish
117,ProviderNumber,10007,0.7507,jellyfish
118,ProviderNumber,10007,0.6849,jellyfish
119,ProviderNumber,10007,0.6918,jellyfish
120,ProviderNumber,10008,0.6871,jellyfish
121,ProviderNumber,10008,0.7718,jellyfish
122,ProviderNumber,10008,0.7725,jellyfish
123,ProviderNumber,10008,0.8123,jellyfish
124,ProviderNumber,10008,0.7742,jellyfish
125,ProviderNumber,10008,0.7745,jellyfish
126,ProviderNumber,10008,0.6934,jellyfish
127,ProviderNumber,10008,0.7941,jellyfish
128,ProviderNumber,10008,0.8112,jellyfish
129,ProviderNumber,10008,0.7037,jellyfish
130,ProviderNumber,10008,0.7720,jellyfish
131,ProviderNumber,10008,0.7786,jellyfish
132,ProviderNumber,10008,0.5389,jellyfish
133,ProviderNumber,10008,0.8001,jellyfish
134,ProviderNumber,10008,0.6751,jellyfish
135,ProviderNumber,10008,0.7430,jellyfish
136,ProviderNumber,10008,0.7762,jellyfish
137,ProviderNumber,10008,0.7718,jellyfish
138,ProviderNumber,10008,0.7545,jellyfish
139,ProviderNumber,10008,0.8046,jellyfish
140,ProviderNumber,10008,0.7531,jellyfish
141,ProviderNumber,10008,0.6549,jellyfish
142,ProviderNumber,10008,0.8149,jellyfish
143,ProviderNumber,10008,0.6363,jellyfish
144,ProviderNumber,10008,0.7797,jellyfish
145,ProviderNumber,10009,0.7915,jellyfish
146,ProviderNumber,10009,0.7230,jellyfish
147,ProviderNumber,10009,0.6295,jellyfish
148,ProviderNumber,10009,0.7765,jellyfish
149,ProviderNumber,10009,0.7056,jellyfish
150,ProviderNumber,10009,0.8140,jellyfish
151,ProviderNumber,10009,0.7778,jellyfish
152,ProviderNumber,10009,0.7724,jellyfish
153,ProviderNumber,10009,0.7007,jellyfish
154,ProviderNumber,10009,0.7827,jellyfish
155,ProviderNumber,10009,0.7249,jellyfish
156,ProviderNumber,10009,0.7814,jellyfish
157,ProviderNumber,10009,0.7664,jellyfish
158,ProviderNumber,10009,0.7694,jellyfish
159,ProviderNumber,10009,0.8107,jellyfish
160,ProviderNumber,10009,0.7411,jellyfish
161,ProviderNumber,10009,0.6309,jellyfish
162,ProviderNumber,10009,0.7503,jellyfish
163,ProviderNumber,10009,0.5864,jellyfish
164,ProviderNumber,10009,0.8193,jellyfish
165,ProviderNumber,10009,0.5845,jellyfish
166,ProviderNumber,10009,0.6832,jellyfish
167,ProviderNumber,10009,0.7806,jellyfish
168,ProviderNumber,10009,0.7673,jellyfish
169,ProviderNumber,10009,0.7068,jellyfish
170,ProviderNumber,10010,0.7886,jellyfish
171,ProviderNumber,10010,0.6812,jellyfish
172,ProviderNumber,10010,0.6777,jellyfish
173,ProviderNumber,10010,0.6692,jellyfish
174,ProviderNumber,10010,0.7493,jellyfish
175,ProviderNumber,10010,0.7837,jellyfish
176,ProviderNumber,10010,0.7544,jellyfish
177,ProviderNumber,10010,0.7860,jellyfish
178,ProviderNumber,10010,0.8023,jellyfish
179,ProviderNumber,10010,0.7512,jellyfish
180,ProviderNumber,10010,0.8125,jellyfish
181,ProviderNumber,10010,0.7641,jellyfish
182,ProviderNumber,10010,0.7997,jellyfish
183,ProviderNumber,10010,0.8159,jellyfish
184,ProviderNumber,10010,0.7232,jellyfish
185,ProviderNumber,10010,0.7797,jellyfish
186,ProviderNumber,10010,0.7559,jellyfish
187,ProviderNumber,10010,0.7820,jellyfish
188,ProviderNumber,10010,0.7941,jellyfish
189,ProviderNumber,10010,0.6635,jellyfish
190,ProviderNumber,10010,0.7218,jellyfish
191,ProviderNumber,10010,0.7660,jellyfish
192,ProviderNumber,10010,0.7584,jellyfish
193,ProviderNumber,10010,0.6677,jellyfish
194,ProviderNumber,10010,0.6722,jellyfish
195,ProviderNumber,10011,0.7802,jellyfish
196,ProviderNumber,10011,0.7568,jellyfish
197,ProviderNumber,10011,0.7311,jellyfish
198,ProviderNumber,10011,0.7890,jellyfish
199,ProviderNumber,10011,0.7837,jellyfish
200,ProviderNumber,10011,0.8006,jellyfish
201,ProviderNumber,10011,0.7950,jellyfish
202,ProviderNumber,10011,0.6992,jellyfish
203,ProviderNumber,10011,0.6641,jellyfish
204,ProviderNumber,10011,0.8044,jellyfish
205,ProviderNumber,10011,0.6825,jellyfish
206,ProviderNumber,10011,0.7256,jellyfish
207,ProviderNumber,10011,0.7088,jellyfish
208,ProviderNumber,10011,0.7445,jellyfish
209,ProviderNumber,10011,0.7400,jellyfish
210,ProviderNumber,10011,0.5879,jellyfish
211,ProviderNumber,10011,0.7725,jellyfish
212,ProviderNumber,10011,0.7712,jellyfish
213,ProviderNumber,10011,0.7979,jellyfish
214,ProviderNumber,00000,0.6915,jellyfish
215,ProviderNumber,10011,0.7531,jellyfish
216,ProviderNumber,10011,0.7709,jellyfish
217,ProviderNumber,10011,0.7804,jellyfish
218,ProviderNumber,10011,0.7640,jellyfish
219,ProviderNumber,10011,0.6698,jellyfish
220,ProviderNumber,10012,0.7902,jellyfish
221,ProviderNumber,10012,0.7724,jellyfish
222,ProviderNumber,10012,0.7564,jellyfish
223,ProviderNumber,10012,0.7628,jellyfish
224,ProviderNumber,10012,0.7122,jellyfish
225,ProviderNumber,10012,0.7973,jellyfish
226,ProviderNumber,10012,0.7423,jellyfish
227,ProviderNumber,10012,0.8001,jellyfish
228,ProviderNumber,10012,0.7368,jellyfish
229,ProviderNumber,10012,0.6275,jellyfish
230,ProviderNumber,10012,0.7806,jellyfish
231,ProviderNumber,10012,0.8018,jellyfish
232,ProviderNumber,10012,0.7540,jellyfish
233,ProviderNumber,10012,0.6743,jellyfish
234,ProviderNumber,10012,0.7498,jellyfish
235,ProviderNumber,10012,0.7323,jellyfish
236,ProviderNumber,10012,0.6050,jellyfish
237,ProviderNumber,10012,0.7803,jellyfish
238,ProviderNumber,10012,0.7320,jellyfish
239,ProviderNumber,10012,0.7867,jellyfish
240,ProviderNumber,10012,0.7675,jellyfish
241,ProviderNumber,10012,0.7622,jellyfish
242,ProviderNumber,10012,0.7464,jellyfish
243,ProviderNumber,10012,0.7931,jellyfish
244,ProviderNumber,10012,0.6755,jellyfish
245,ProviderNumber,x0055,0.7047,jellyfish
246,ProviderNumber,10015,0.8081,jellyfish
247,ProviderNumber,10015,0.8124,jellyfish
248,ProviderNumber,10015,0.7477,jellyfish
249,ProviderNumber,10015,0.7905,jellyfish
250,ProviderNumber,10015,0.7431,jellyfish
251,ProviderNumber,10015,0.7774,jellyfish
252,ProviderNumber,10015,0.7524,jellyfish
253,ProviderNumber,10015,0.6677,jellyfish
254,ProviderNumber,11515,0.6056,jellyfish
255,ProviderNumber,10015,0.7291,jellyfish
256,ProviderNumber,10015,0.6804,jellyfish
257,ProviderNumber,10015,0.6901,jellyfish
258,ProviderNumber,10015,0.6683,jellyfish
259,ProviderNumber,10015,0.6309,jellyfish
260,ProviderNumber,10015,0.7982,jellyfish
261,ProviderNumber,10015,0.6546,jellyfish
262,ProviderNumber,10015,0.7783,jellyfish
263,ProviderNumber,10015,0.8009,jellyfish
264,ProviderNumber,10015,0.7744,jellyfish
265,ProviderNumber,10015,0.6538,jellyfish
266,ProviderNumber,10015,0.8031,jellyfish
267,ProviderNumber,10015,0.5317,jellyfish
268,ProviderNumber,10015,0.6360,jellyfish
269,ProviderNumber,10015,0.7813,jellyfish
270,ProviderNumber,10016,0.8058,jellyfish
271,ProviderNumber,10016,0.7643,jellyfish
272,ProviderNumber,10016,0.7114,jellyfish
273,ProviderNumber,10016,0.6265,jellyfish
274,ProviderNumber,1016,0.5040,jellyfish
275,ProviderNumber,10016,0.7780,jellyfish
276,ProviderNumber,10016,0.7240,jellyfish
277,ProviderNumber,10016,0.6834,jellyfish
278,ProviderNumber,10016,0.7581,jellyfish
279,ProviderNumber,10016,0.8006,jellyfish
280,ProviderNumber,10016,0.6613,jellyfish
281,ProviderNumber,10016,0.7310,jellyfish
282,ProviderNumber,10016,0.7543,jellyfish
283,ProviderNumber,10016,0.7067,jellyfish
284,ProviderNumber,10016,0.6962,jellyfish
285,ProviderNumber,10016,0.7591,jellyfish
286,ProviderNumber,10016,0.8016,jellyfish
287,ProviderNumber,10016,0.7949,jellyfish
288,ProviderNumber,10016,0.7778,jellyfish
289,ProviderNumber,10016,0.6983,jellyfish
290,ProviderNumber,10016,0.7025,jellyfish
291,ProviderNumber,10016,0.7596,jellyfish
292,ProviderNumber,10016,0.6186,jellyfish
293,ProviderNumber,10016,0.7559,jellyfish
294,ProviderNumber,10016,0.7478,jellyfish
295,ProviderNumber,10018,0.7821,jellyfish
296,ProviderNumber,10018,0.7133,jellyfish
297,ProviderNumber,10018,0.6969,jellyfish
298,ProviderNumber,10018,0.7710,jellyfish
299,ProviderNumber,10018,0.7926,jellyfish
300,ProviderNumber,10018,0.7229,jellyfish
301,ProviderNumber,10018,0.8152,jellyfish
302,ProviderNumber,10018,0.8257,jellyfish
303,ProviderNumber,10018,0.8149,jellyfish
304,ProviderNumber,10018,0.7467,jellyfish
305,ProviderNumber,10018,0.8169,jellyfish
306,ProviderNumber,10018,0.8087,jellyfish
307,ProviderNumber,10018,0.7966,jellyfish
308,ProviderNumber,10018,0.7359,jellyfish
309,ProviderNumber,10018,0.7752,jellyfish
310,ProviderNumber,10018,0.7246,jellyfish
311,ProviderNumber,10018,0.8245,jellyfish
312,ProviderNumber,10038,0.6196,jellyfish
313,ProviderNumber,10038,0.7616,jellyfish
314,ProviderNumber,10038,0.7746,jellyfish
315,ProviderNumber,10088,0.6667,jellyfish
316,ProviderNumber,10038,0.8160,jellyfish
317,ProviderNumber,10038,0.6817,jellyfish
318,ProviderNumber,10038,0.7834,jellyfish
319,ProviderNumber,10038,0.7580,jellyfish
320,ProviderNumber,10038,0.7689,jellyfish
321,ProviderNumber,10038,0.6985,jellyfish
322,ProviderNumber,10038,0.8107,jellyfish
323,ProviderNumber,10038,0.7560,jellyfish
324,ProviderNumber,10038,0.7739,jellyfish
325,ProviderNumber,10038,0.8007,jellyfish
326,ProviderNumber,10038,0.7739,jellyfish
327,ProviderNumber,10038,0.7134,jellyfish
328,ProviderNumber,10038,0.8096,jellyfish
329,ProviderNumber,10038,0.7856,jellyfish
330,ProviderNumber,10038,0.5982,jellyfish
331,ProviderNumber,10038,0.7040,jellyfish
332,ProviderNumber,10055,0.6200,jellyfish
333,ProviderNumber,10055,0.7172,jellyfish
334,ProviderNumber,10055,0.6190,jellyfish
335,ProviderNumber,10055,0.7697,jellyfish
336,ProviderNumber,10055,0.7569,jellyfish
337,ProviderNumber,10055,0.7745,jellyfish
338,ProviderNumber,10055,0.7378,jellyfish
339,ProviderNumber,10055,0.6975,jellyfish
340,ProviderNumber,10055,0.7712,jellyfish
341,ProviderNumber,10055,0.7755,jellyfish
342,ProviderNumber,10055,0.7775,jellyfish
343,ProviderNumber,10055,0.7971,jellyfish
344,ProviderNumber,10055,0.7546,jellyfish
345,ProviderNumber,10055,0.8015,jellyfish
346,ProviderNumber,10055,0.7568,jellyfish
347,ProviderNumber,10055,0.7818,jellyfish
348,ProviderNumber,10055,0.7368,jellyfish
349,ProviderNumber,10056,0.7704,jellyfish
350,ProviderNumber,10056,0.7733,jellyfish
351,ProviderNumber,10056,0.7846,jellyfish
352,ProviderNumber,10056,0.6869,jellyfish
353,ProviderNumber,10056,0.7775,jellyfish
354,ProviderNumber,10085,0.7827,jellyfish
355,ProviderNumber,10086,0.8005,jellyfish
356,ProviderNumber,10086,0.7782,jellyfish
357,ProviderNumber,10086,0.8216,jellyfish
358,ProviderNumber,10086,0.7830,jellyfish
359,ProviderNumber,10086,0.7792,jellyfish
360,ProviderNumber,10086,0.7241,jellyfish
361,ProviderNumber,10060,0.7395,jellyfish
362,ProviderNumber,10086,0.7738,jellyfish
363,ProviderNumber,10086,0.6399,jellyfish
364,ProviderNumber,10086,0.8065,jellyfish
365,ProviderNumber,10086,0.7829,jellyfish
366,ProviderNumber,10086,0.8145,jellyfish
367,ProviderNumber,10086,0.6109,jellyfish
368,ProviderNumber,10086,0.7847,jellyfish
369,ProviderNumber,10086,0.7780,jellyfish
370,ProviderNumber,10086,0.8151,jellyfish
371,ProviderNumber,10086,0.6334,jellyfish
372,ProviderNumber,10086,0.7862,jellyfish
373,ProviderNumber,10086,0.7635,jellyfish
374,ProviderNumber,10086,0.7927,jellyfish
375,ProviderNumber,10086,0.7718,jellyfish
376,ProviderNumber,10086,0.8185,jellyfish
377,ProviderNumber,10086,0.7880,jellyfish
378,ProviderNumber,10086,0.8086,jellyfish
379,ProviderNumber,10086,0.8119,jellyfish
380,ProviderNumber,10087,0.8049,jellyfish
381,ProviderNumber,10087,0.7598,jellyfish
382,ProviderNumber,10087,0.7668,jellyfish
383,ProviderNumber,10087,0.5974,jellyfish
384,ProviderNumber,10087,0.7763,jellyfish
385,ProviderNumber,10087,0.8331,jellyfish
386,ProviderNumber,10087,0.6367,jellyfish
387,ProviderNumber,10087,0.8204,jellyfish
388,ProviderNumber,10087,0.6829,jellyfish
389,ProviderNumber,10087,0.6853,jellyfish
390,ProviderNumber,10087,0.6374,jellyfish
391,ProviderNumber,10087,0.6711,jellyfish
392,ProviderNumber,10087,0.6235,jellyfish
393,ProviderNumber,10108,0.7671,jellyfish
394,ProviderNumber,10108,0.8197,jellyfish
395,ProviderNumber,10108,0.7129,jellyfish
396,ProviderNumber,10108,0.7026,jellyfish
397,ProviderNumber,10108,0.7597,jellyfish
398,ProviderNumber,10108,0.7814,jellyfish
399,ProviderNumber,10108,0.7845,jellyfish
400,ProviderNumber,10108,0.7343,jellyfish
401,ProviderNumber,10108,0.7019,jellyfish
402,ProviderNumber,10108,0.7603,jellyfish
403,ProviderNumber,10108,0.7247,jellyfish
404,ProviderNumber,10108,0.7238,jellyfish
405,ProviderNumber,10108,0.7708,jellyfish
406,ProviderNumber,10108,0.8051,jellyfish
407,ProviderNumber,10108,0.7445,jellyfish
408,ProviderNumber,10108,0.7772,jellyfish
409,ProviderNumber,x0123,0.6237,jellyfish
410,ProviderNumber,10108,0.6845,jellyfish
411,ProviderNumber,10108,0.7558,jellyfish
412,ProviderNumber,10108,0.6777,jellyfish
413,ProviderNumber,10158,0.7731,jellyfish
414,ProviderNumber,10158,0.6621,jellyfish
415,ProviderNumber,10164,0.6867,jellyfish
416,ProviderNumber,10164,0.6177,jellyfish
417,ProviderNumber,10164,0.7338,jellyfish
418,ProviderNumber,10164,0.6236,jellyfish
419,ProviderNumber,10164,0.6912,jellyfish
420,ProviderNumber,10164,0.6753,jellyfish
421,ProviderNumber,10164,0.6983,jellyfish
422,ProviderNumber,10164,0.6265,jellyfish
423,ProviderNumber,10164,0.7131,jellyfish
424,ProviderNumber,10164,0.6230,jellyfish
425,ProviderNumber,10164,0.6991,jellyfish
426,ProviderNumber,10164,0.6400,jellyfish
427,ProviderNumber,10164,0.6497,jellyfish
428,ProviderNumber,10164,0.7347,jellyfish
429,ProviderNumber,10164,0.7900,jellyfish
430,ProviderNumber,10164,0.8017,jellyfish
431,ProviderNumber,10164,0.7561,jellyfish
432,ProviderNumber,10164,0.6983,jellyfish
433,ProviderNumber,20017,0.7664,jellyfish
434,ProviderNumber,20017,0.8198,jellyfish
435,ProviderNumber,20017,0.8047,jellyfish
436,ProviderNumber,20017,0.7303,jellyfish
