row_id,column
27,HospitalName
132,HospitalName
172,HospitalName
244,HospitalName
338,HospitalName
385,HospitalName
386,HospitalName
449,HospitalName
533,HospitalName
561,HospitalName
655,HospitalName
698,HospitalName
711,HospitalName
731,HospitalName
759,HospitalName
766,HospitalName
778,HospitalName
904,HospitalName
922,HospitalName
923,HospitalName
939,HospitalName
957,HospitalName
963,HospitalName
988,HospitalName
95,Address1
107,Address1
176,Address1
261,Address1
265,Address1
335,Address1
394,Address1
412,Address1
451,Address1
452,Address1
653,Address1
737,Address1
850,Address1
858,Address1
935,Address1
936,Address1
946,Address1
4,City
8,City
11,City
80,City
89,City
94,City
208,City
213,City
312,City
368,City
438,City
518,City
579,City
591,City
655,City
691,City
697,City
737,City
757,City
773,City
822,City
856,City
896,City
950,City
961,City
969,City
986,City
45,ZipCode
64,ZipCode
71,ZipCode
94,ZipCode
138,ZipCode
140,ZipCode
150,ZipCode
158,ZipCode
197,ZipCode
233,ZipCode
268,ZipCode
284,ZipCode
291,ZipCode
326,ZipCode
333,ZipCode
341,ZipCode
367,ZipCode
376,ZipCode
407,ZipCode
421,ZipCode
429,ZipCode
491,ZipCode
500,ZipCode
545,ZipCode
680,ZipCode
686,ZipCode
711,ZipCode
751,ZipCode
816,ZipCode
924,ZipCode
17,HospitalType
40,HospitalType
99,HospitalType
200,HospitalType
214,HospitalType
267,HospitalType
281,HospitalType
294,HospitalType
412,HospitalType
414,HospitalType
454,HospitalType
491,HospitalType
494,HospitalType
498,HospitalType
512,HospitalType
533,HospitalType
589,HospitalType
635,HospitalType
696,HospitalType
706,HospitalType
730,HospitalType
780,HospitalType
783,HospitalType
815,HospitalType
849,HospitalType
878,HospitalType
903,HospitalType
927,HospitalType
950,HospitalType
957,HospitalType
965,HospitalType
977,HospitalType
23,Condition
74,Condition
128,Condition
200,Condition
226,Condition
230,Condition
237,Condition
240,Condition
257,Condition
280,Condition
367,Condition
370,Condition
387,Condition
401,Condition
468,Condition
507,Condition
556,Condition
600,Condition
609,Condition
632,Condition
680,Condition
699,Condition
713,Condition
717,Condition
734,Condition
852,Condition
870,Condition
956,Condition
975,Condition
1,MeasureName
95,MeasureName
112,MeasureName
120,MeasureName
146,MeasureName
211,MeasureName
220,MeasureName
257,MeasureName
282,MeasureName
291,MeasureName
347,MeasureName
381,MeasureName
390,MeasureName
435,MeasureName
448,MeasureName
474,MeasureName
494,MeasureName
508,MeasureName
533,MeasureName
542,MeasureName
546,MeasureName
563,MeasureName
613,MeasureName
651,MeasureName
652,MeasureName
673,MeasureName
706,MeasureName
707,MeasureName
714,MeasureName
786,MeasureName
803,MeasureName
817,MeasureName
894,MeasureName
903,MeasureName
916,MeasureName
998,MeasureName
62,Score
127,Score
135,Score
188,Score
253,Score
257,Score
391,Score
406,Score
474,Score
507,Score
549,Score
574,Score
584,Score
650,Score
658,Score
674,Score
684,Score
770,Score
777,Score
861,Score
931,Score
938,Score
939,Score
947,Score
991,Score
18,Sample
92,Sample
116,Sample
134,Sample
167,Sample
171,Sample
225,Sample
235,Sample
317,Sample
355,Sample
414,Sample
419,Sample
445,Sample
483,Sample
497,Sample
503,Sample
524,Sample
533,Sample
555,Sample
581,Sample
589,Sample
669,Sample
674,Sample
777,Sample
846,Sample
867,Sample
873,Sample
906,Sample
973,Sample
