proposer,dataset,log,n,distinct_conf,mean_conf,accuracy,gap,ece
Baran,beers,baran_beers_pred.csv,3334,1,1.0,0.8809,0.1191,0.1191
Baran,flights,baran_flights_pred.csv,4920,1,1.0,1.0,0.0,0.0
Baran,hospital,baran_hospital_pred.csv,499,1,1.0,0.9319,0.0681,0.0681
Baran (Raha),beers,baran_raha_beers_pred.csv,2832,1,1.0,0.9474,0.0526,0.0526
Baran (Raha),flights,baran_raha_flights_pred.csv,2794,1,1.0,0.9123,0.0877,0.0877
Baran (Raha),hospital,baran_raha_hospital_pred.csv,215,1,1.0,0.7721,0.2279,0.2279
Baran (Raha),rayyan,baran_raha_rayyan_pred.csv,408,1,1.0,0.7132,0.2868,0.2868
Baran,rayyan,baran_rayyan_pred.csv,461,1,1.0,0.9241,0.0759,0.0759
BClean,beers,bclean_beers_pred.csv,2760,1339,0.7123,0.7333,-0.021,0.1271
BClean,flights,bclean_flights_pred.csv,2678,402,0.7664,0.4705,0.2959,0.2959
BClean,hospital,bclean_hospital_pred.csv,398,54,0.9971,1.0,-0.0029,0.0017
BClean (+keep),beers,bclean_keep_beers_pred.csv,11861,1413,0.3611,0.8969,-0.5358,0.5602
BClean (+keep),flights,bclean_keep_flights_pred.csv,13191,862,0.3715,0.7914,-0.4199,0.5202
BClean (+keep),hospital,bclean_keep_hospital_pred.csv,15000,122,0.1088,0.9962,-0.8874,0.8876
GPT-4o-mini,beers,gpt4o_beers_pred.csv,19270,10,0.9688,0.7188,0.25,0.2498
GPT-4o-mini,flights,gpt4o_flights_pred.csv,14237,7,0.9642,0.5976,0.3666,0.3666
GPT-4o-mini,hospital,gpt4o_hospital_pred.csv,17000,6,0.9451,0.6175,0.3276,0.3276
GPT-4o-mini,rayyan,gpt4o_rayyan_pred.csv,9698,10,0.9428,0.4532,0.4896,0.4902
HoloClean,beers,holoclean_beers_pred.csv,878,833,0.2422,0.1378,0.1044,0.15
HoloClean,flights,holoclean_flights_pred.csv,2338,615,0.4635,0.7421,-0.2785,0.2808
HoloClean,hospital,holoclean_hospital_pred.csv,232,232,0.5193,1.0,-0.4807,0.4455
HoloClean (+keep),beers,holoclean_keep_beers_pred.csv,3355,3152,0.7547,0.7383,0.0164,0.0501
HoloClean (+keep),flights,holoclean_keep_flights_pred.csv,11832,3688,0.7588,0.7307,0.0281,0.1049
HoloClean (+keep),hospital,holoclean_keep_hospital_pred.csv,11038,10423,0.8658,0.9816,-0.1158,0.1155
Jellyfish,beers,jellyfish_beers_pred.csv,18990,10,0.8736,0.5858,0.2878,0.2878
Jellyfish,flights,jellyfish_flights_pred.csv,14256,5,0.7462,0.3603,0.386,0.386
Jellyfish,hospital,jellyfish_hospital_pred.csv,17000,6,0.9157,0.6995,0.2162,0.2162
Jellyfish,rayyan,jellyfish_rayyan_pred.csv,9964,10,0.8177,0.4065,0.4112,0.4111
Jellyfish,tax,jellyfish_tax25k_pred.csv,375000,6,0.8693,0.5801,0.2893,0.2893
RetClean,flights,retclean_flights_pred.csv,6281,2,0.7861,0.4869,0.2993,0.2993
RetClean,hospital,retclean_hospital_pred.csv,8309,2,0.7288,0.6081,0.1206,0.1856
