proposer,dataset,detection,scoring,strata,alpha,delta,seeds,errors_before,n_test,edr_apply_all,edr_apply_all_min,apply_all_negative_seeds,edr_care,edr_care_min,care_negative_seeds,edr_care_table,n_auto,n_changes,fixes,breaks,still_wrong,bound_violations,bound_violations_while_covered
Baran,hospital,oracle,errors,mondrian,0.05,0.1,10,300,300,0.9327,0.92,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,hospital,oracle,errors,mondrian,0.1,0.1,10,300,300,0.9327,0.92,0,0.1417,0.0,0,0.0835,43.5,43.5,42.5,0,1,0,0
Baran,hospital,oracle,errors,mondrian,0.2,0.1,10,300,300,0.9327,0.92,0,0.8007,0.2833,0,0.4719,257.4,257.4,240.2,0,17.2,0,0
Baran,beers,oracle,errors,mondrian,0.05,0.1,10,2002,2002,0.8816,0.8766,0,0.7023,0.6993,0,0.4189,1446,1446,1406.1,0,39.9,0,0
Baran,beers,oracle,errors,mondrian,0.1,0.1,10,2002,2002,0.8816,0.8766,0,0.7023,0.6993,0,0.4189,1446,1446,1406.1,0,39.9,0,0
Baran,beers,oracle,errors,mondrian,0.2,0.1,10,2002,2002,0.8816,0.8766,0,0.7789,0.7757,0,0.4645,1600,1600,1559.4,0,40.6,0,0
Baran,rayyan,oracle,errors,mondrian,0.05,0.1,10,278,278,0.9194,0.9065,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,rayyan,oracle,errors,mondrian,0.1,0.1,10,278,278,0.9194,0.9065,0,0.4338,0.0,0,0.1272,128.4,128.4,120.6,0,7.8,0,0
Baran,rayyan,oracle,errors,mondrian,0.2,0.1,10,278,278,0.9194,0.9065,0,0.7284,0.7194,0,0.2136,214,214,202.5,0,11.5,0,0
Baran,tax,oracle,errors,mondrian,0.05,0.1,10,72720,72720,0.732,0.7318,0,0.7206,0.7206,0,0.4323,52399,52399,52399,0,0,0,0
Baran,tax,oracle,errors,mondrian,0.1,0.1,10,72720,72720,0.732,0.7318,0,0.7271,0.7271,0,0.4362,52877,52877,52877,0,0,0,0
Baran,tax,oracle,errors,mondrian,0.2,0.1,10,72720,72720,0.732,0.7318,0,0.7271,0.7271,0,0.4362,52877,52877,52877,0,0,0,0
BClean,hospital,oracle,errors,mondrian,0.05,0.1,10,240,240,1.0,1.0,0,0.7292,0.7292,0,0.3438,175,175,175,0,0,0,0
BClean,hospital,oracle,errors,mondrian,0.1,0.1,10,240,240,1.0,1.0,0,0.7292,0.7292,0,0.3438,175,175,175,0,0,0,0
BClean,hospital,oracle,errors,mondrian,0.2,0.1,10,240,240,1.0,1.0,0,1.0,1.0,0,0.4715,240,240,240,0,0,0,0
BClean,beers,oracle,errors,mondrian,0.05,0.1,10,1646,1646,0.738,0.7296,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,beers,oracle,errors,mondrian,0.1,0.1,10,1646,1646,0.738,0.7296,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,beers,oracle,errors,mondrian,0.2,0.1,10,1646,1646,0.738,0.7296,0,0.0128,0.0,0,0.0063,25.4,25.4,21.1,0,4.3,0,0
BClean,flights,oracle,errors,mondrian,0.05,0.1,10,1514,1514,0.4981,0.4881,0,0.121,0.1196,0,0.0372,184.4,184.4,183.2,0,1.2,0,0
BClean,flights,oracle,errors,mondrian,0.1,0.1,10,1514,1514,0.4981,0.4881,0,0.1219,0.1215,0,0.0375,186,186,184.6,0,1.4,0,0
BClean,flights,oracle,errors,mondrian,0.2,0.1,10,1514,1514,0.4981,0.4881,0,0.1818,0.1215,0,0.0559,285.2,285.2,275.2,0,10,0,0
Jellyfish,hospital,oracle,detected,mondrian,0.05,0.1,10,306,306,0.4154,0.3954,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,hospital,oracle,detected,mondrian,0.1,0.1,10,306,306,0.4154,0.3954,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,hospital,oracle,detected,mondrian,0.2,0.1,10,306,306,0.4154,0.3954,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,oracle,detected,mondrian,0.05,0.1,10,2016,2016,0.1962,0.187,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,oracle,detected,mondrian,0.1,0.1,10,2016,2016,0.1962,0.187,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,oracle,detected,mondrian,0.2,0.1,10,2016,2016,0.1962,0.187,0,0.038,0.0377,0,0.0228,77,77,76.7,0,0.3,0,0
Jellyfish,flights,oracle,detected,mondrian,0.05,0.1,10,2953,2953,0.0189,0.0156,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,flights,oracle,detected,mondrian,0.1,0.1,10,2953,2953,0.0189,0.0156,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,flights,oracle,detected,mondrian,0.2,0.1,10,2953,2953,0.0189,0.0156,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,oracle,detected,mondrian,0.05,0.1,10,568,568,0.0021,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,oracle,detected,mondrian,0.1,0.1,10,568,568,0.0021,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,rayyan,oracle,detected,mondrian,0.2,0.1,10,568,568,0.0021,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,tax,oracle,detected,mondrian,0.05,0.1,10,9380,9380,0.0234,0.0223,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,tax,oracle,detected,mondrian,0.1,0.1,10,9380,9380,0.0234,0.0223,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
