proposer,dataset,cal_size,alpha,delta,seeds,care_violations,care_automation,heldout_violations,heldout_automation,heldout_worst_error
Baran,beers,25,0.1,0.1,50,0,0.0,3,0.737,0.3631
Baran,beers,50,0.1,0.1,50,0,0.0,1,0.7862,0.1206
Baran,beers,100,0.1,0.1,50,0,0.13,0,0.7937,0.0269
Baran,beers,200,0.1,0.1,50,0,0.6072,0,0.7929,0.0263
Baran,beers,400,0.1,0.1,50,0,0.7223,0,0.797,0.0273
Baran,beers,800,0.1,0.1,50,0,0.7225,0,0.7989,0.0285
BClean,flights,25,0.1,0.1,50,0,0.0,37,0.3235,0.4276
BClean,flights,50,0.1,0.1,50,0,0.0,22,0.255,0.2034
BClean,flights,100,0.1,0.1,50,0,0.0,14,0.2304,0.2218
BClean,flights,200,0.1,0.1,50,0,0.0,6,0.2052,0.136
BClean,flights,400,0.1,0.1,50,0,0.0427,0,0.1912,0.0981
BClean,flights,800,0.1,0.1,50,0,0.1242,0,0.1897,0.0776
Jellyfish,beers,25,0.1,0.1,50,0,0.0,39,0.1246,0.4206
Jellyfish,beers,50,0.1,0.1,50,0,0.0,28,0.0972,0.3007
Jellyfish,beers,100,0.1,0.1,50,0,0.0,25,0.0753,0.4309
Jellyfish,beers,200,0.1,0.1,50,0,0.0,9,0.0488,0.2054
Jellyfish,beers,400,0.1,0.1,50,0,0.0,1,0.0385,0.1641
Jellyfish,beers,800,0.1,0.1,50,0,0.0,0,0.0378,0.0115
