proposer,dataset,strata,alpha,labels,automation,automation_sd,realized_error,seeds
Baran,hospital,mondrian,0.2,25,0.0,0.0,0.0,10
Baran,hospital,mondrian,0.2,50,0.0,0.0,0.0,10
Baran,hospital,mondrian,0.2,100,0.4659,0.3434,0.0519,10
Baran,hospital,mondrian,0.2,200,0.9301,0.221,0.0671,10
Baran,hospital,mondrian,0.2,400,1.0,0.0,0.0768,10
Baran,hospital,marginal,0.2,25,0.1,0.3162,0.0072,10
Baran,hospital,marginal,0.2,50,0.4,0.5164,0.0287,10
Baran,hospital,marginal,0.2,100,0.9,0.3162,0.0632,10
Baran,hospital,marginal,0.2,200,1.0,0.0,0.0706,10
Baran,hospital,marginal,0.2,400,1.0,0.0,0.0768,10
Baran,beers,mondrian,0.2,25,0.0,0.0,0.0,10
Baran,beers,mondrian,0.2,50,0.361,0.3806,0.0134,10
Baran,beers,mondrian,0.2,100,0.7228,0.0013,0.0265,10
Baran,beers,mondrian,0.2,200,0.7226,0.0017,0.0265,10
Baran,beers,mondrian,0.2,400,0.7222,0.0039,0.0262,10
Baran,beers,mondrian,0.2,800,0.7762,0.0203,0.0244,10
Baran,beers,mondrian,0.2,1600,0.7966,0.0053,0.0249,10
Baran,beers,marginal,0.2,25,0.1,0.3162,0.012,10
Baran,beers,marginal,0.2,50,0.0,0.0,0.0,10
Baran,beers,marginal,0.2,100,0.1,0.3162,0.012,10
Baran,beers,marginal,0.2,200,0.5,0.527,0.0598,10
Baran,beers,marginal,0.2,400,1.0,0.0,0.1186,10
Baran,beers,marginal,0.2,800,1.0,0.0,0.1177,10
Baran,beers,marginal,0.2,1600,1.0,0.0,0.12,10
BClean,flights,mondrian,0.2,25,0.0,0.0,0.0,10
BClean,flights,mondrian,0.2,50,0.0,0.0,0.0,10
BClean,flights,mondrian,0.2,100,0.0,0.0,0.0,10
BClean,flights,mondrian,0.2,200,0.0724,0.0624,0.0028,10
BClean,flights,mondrian,0.2,400,0.1314,0.0229,0.0082,10
BClean,flights,mondrian,0.2,800,0.1599,0.0378,0.0186,10
BClean,flights,mondrian,0.2,1600,0.2018,0.0119,0.0401,10
BClean,flights,marginal,0.2,25,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,50,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,100,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,200,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,400,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,800,0.0,0.0,0.0,10
BClean,flights,marginal,0.2,1600,0.0,0.0,0.0,10
