proposer,dataset,n_gold_errors,n_proposed_on_errors,coverage_of_errors,acc_on_errors,n_cols,n_perfect_cols,cells_in_perfect_cols,frac_in_perfect_cols,clean_touched,clean_broken,regime
Baran,hospital,509,499,0.9804,0.9319,17,12,363,0.7275,0,0,informative
Baran,beers,3357,3334,0.9931,0.8809,4,1,127,0.0381,0,0,informative
Baran,flights,4920,4920,1.0000,1.0000,4,4,4920,1.0000,0,0,degenerate
Baran,rayyan,948,461,0.4863,0.9241,8,2,25,0.0542,0,0,informative/partial
Baran,tax,121219,121193,0.9998,0.7320,10,5,88125,0.7271,0,0,informative
BClean,hospital,509,398,0.7819,1.0000,14,14,398,1.0000,0,0,degenerate/partial
BClean,beers,3357,2743,0.8171,0.7379,3,0,0,0.0000,17,17,informative/partial
BClean,flights,4920,2522,0.5126,0.4996,4,0,0,0.0000,156,156,informative/partial
Jellyfish,hospital,509,509,1.0000,0.4224,17,1,26,0.0511,16491,4815,informative
Jellyfish,beers,3357,3357,1.0000,0.1936,8,0,0,0.0000,15633,5158,informative
Jellyfish,flights,4920,4920,1.0000,0.0185,6,0,0,0.0000,9336,4291,hopeless
Jellyfish,rayyan,948,945,0.9968,0.0021,10,0,0,0.0000,9019,4971,hopeless
Jellyfish,tax,15628,15628,1.0000,0.0234,15,0,0,0.0000,359372,142215,"hopeless/shard[0,25000)"
RetClean,hospital,509,509,1.0000,0.4224,19,1,26,0.0511,16491,4809,informative
RetClean,flights,4920,3040,0.6179,0.3766,4,0,0,0.0000,3241,1328,informative/partial
GPT-4o-mini,hospital,509,509,1.0000,0.4558,17,1,26,0.0511,16491,6225,informative
GPT-4o-mini,beers,3357,3357,1.0000,0.0697,8,1,127,0.0378,15913,2296,informative
GPT-4o-mini,flights,4920,4901,0.9961,0.0753,6,0,0,0.0000,9336,1197,informative
GPT-4o-mini,rayyan,948,944,0.9958,0.0064,10,0,0,0.0000,8754,4365,hopeless
HoloClean,hospital,509,232,0.4558,1.0000,9,9,232,1.0000,0,0,degenerate/partial
HoloClean,beers,3357,121,0.0360,1.0000,4,1,121,1.0000,757,757,degenerate/partial
HoloClean,flights,4920,2337,0.4750,0.7424,4,0,0,0.0000,1,1,informative/partial
