dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
rayyan,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.05,detected,0.0,0.07545126353790614,0.9245487364620939,0.08014440433212996,False,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.1,detected,0.5381294964028778,0.036448598130841114,0.4902439024390244,0.05514018691588783,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.1,detected,0.0,0.07545126353790614,0.9245487364620939,0.08014440433212996,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,marginal,0.2,detected,0.0,0.07545126353790614,0.9245487364620939,0.08014440433212996,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.2,detected,0.23021582733812945,0.053738317757009324,0.8231707317073171,0.059345794392523354,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.2,detected,0.0,0.07545126353790614,0.9245487364620939,0.08014440433212996,True,True,baran:csvs/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_mapped.csv
