dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
tax,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.05,detected,0.27944169416941694,0.0,0.8375866175401019,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.05,detected,0.0,0.2675779745860608,0.7324220254139392,0.2680661752571648,False,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.1,detected,0.2728685368536854,0.0,0.842010557577012,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.1,detected,0.0,0.2675779745860608,0.7324220254139392,0.2680661752571648,False,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.2,detected,0.2728685368536854,0.0,0.842010557577012,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.2,detected,0.0,0.2675779745860608,0.7324220254139392,0.2680661752571648,False,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
