dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.05,errors,0.0,0.07641196013289035,0.9235880398671096,0.08139534883720931,False,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.1,errors,0.9711920529801323,0.0057471264367816135,0.04215938303341902,0.01724137931034484,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.1,errors,0.0,0.07641196013289035,0.9235880398671096,0.08139534883720931,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,CARE,marginal,0.2,errors,0.0,0.07641196013289035,0.9235880398671096,0.08139534883720931,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.2,errors,0.1423841059602649,0.06817386008982262,0.823827440031325,0.08079470198675495,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.2,errors,0.0,0.07641196013289035,0.9235880398671096,0.08139534883720931,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
hospital,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var_hospital/3/baran_hospital_mapped.csv
