dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
rayyan,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.05,errors,0.0,0.20845771144278605,0.791542288557214,0.21791044776119403,False,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.1,errors,0.0,0.20845771144278605,0.791542288557214,0.21791044776119403,False,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,CARE,mondrian,0.2,errors,0.7386138613861386,0.05378787878787879,0.2736526946107784,0.0946969696969697,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,LLMOnly,-,0.2,errors,0.0,0.20845771144278605,0.791542288557214,0.21791044776119403,False,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
rayyan,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_var/3/baran_rayyan_mapped.csv
