dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,CARE,mondrian,0.05,errors,0.27083333333333337,0.0,0.8433734939759037,0.0,True,False,bclean:csvs/bclean_hospital_mapped.csv
hospital,LLMOnly,-,0.05,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,False,bclean:csvs/bclean_hospital_mapped.csv
hospital,CARE,marginal,0.1,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,CARE,mondrian,0.1,errors,0.27083333333333337,0.0,0.8433734939759037,0.0,True,False,bclean:csvs/bclean_hospital_mapped.csv
hospital,LLMOnly,-,0.1,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,False,bclean:csvs/bclean_hospital_mapped.csv
hospital,CARE,marginal,0.2,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,CARE,mondrian,0.2,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,LLMOnly,-,0.2,errors,0.0,0.0,1.0,0.0,True,True,bclean:csvs/bclean_hospital_mapped.csv
hospital,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,False,bclean:csvs/bclean_hospital_mapped.csv
