dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.05,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.05,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,NoOp,-,0.05,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,CARE,marginal,0.1,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.1,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.1,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,NoOp,-,0.1,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,CARE,marginal,0.2,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,CARE,mondrian,0.2,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,LLMOnly,-,0.2,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
hospital,NoOp,-,0.2,detected,0.0,0.0,0.0,0.0,True,True,baran:csvs/baran_hospital_mapped.csv
