dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
beers,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,LLMOnly,-,0.05,detected,0.0,0.8092803970223323,0.1907196029776675,0.8121588089330025,False,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,LLMOnly,-,0.1,detected,0.0,0.8092803970223323,0.1907196029776675,0.8121588089330025,False,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,CARE,mondrian,0.2,detected,0.9618055555555556,0.0038961038961038974,0.07329192546583849,0.007792207792207795,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,LLMOnly,-,0.2,detected,0.0,0.8092803970223323,0.1907196029776675,0.8121588089330025,False,True,jellyfish:csvs/jellyfish_beers_mapped.csv
beers,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_beers_mapped.csv
