dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
beers,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,LLMOnly,-,0.05,detected,0.0,0.9326550868486354,0.06734491315136476,0.934044665012407,False,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,LLMOnly,-,0.1,detected,0.0,0.9326550868486354,0.06734491315136476,0.934044665012407,False,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,False,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,CARE,mondrian,0.2,detected,0.9618055555555556,0.0,0.07357859531772575,0.0,True,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,LLMOnly,-,0.2,detected,0.0,0.9326550868486354,0.06734491315136476,0.934044665012407,False,True,gpt4o:csvs/gpt4o_beers_mapped.csv
beers,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,False,gpt4o:csvs/gpt4o_beers_mapped.csv
