dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
flights,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,LLMOnly,-,0.05,detected,0.0,0.9243454607276436,0.07565453927235635,0.926453587215233,False,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,LLMOnly,-,0.1,detected,0.0,0.9243454607276436,0.07565453927235635,0.926453587215233,False,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,LLMOnly,-,0.2,detected,0.0,0.9243454607276436,0.07565453927235635,0.926453587215233,False,True,gpt4o:csvs/gpt4o_flights_mapped.csv
flights,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_flights_mapped.csv
