dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
rayyan,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,LLMOnly,-,0.05,detected,0.0,0.9931216931216932,0.006878306878306878,0.9945326278659612,False,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,LLMOnly,-,0.1,detected,0.0,0.9931216931216932,0.006878306878306878,0.9945326278659612,False,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,LLMOnly,-,0.2,detected,0.0,0.9931216931216932,0.006878306878306878,0.9945326278659612,False,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
rayyan,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,gpt4o:csvs/gpt4o_rayyan_mapped.csv
