dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
beers,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,LLMOnly,-,0.05,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_beers_mapped.csv
beers,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,LLMOnly,-,0.1,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_beers_mapped.csv
beers,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
beers,CARE,marginal,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_beers_mapped.csv
beers,CARE,mondrian,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_beers_mapped.csv
beers,LLMOnly,-,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_beers_mapped.csv
beers,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_beers_mapped.csv
