dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,LLMOnly,-,0.05,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,CARE,marginal,0.1,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,CARE,mondrian,0.1,errors,0.2785714285714285,0.0,0.8381742738589211,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,LLMOnly,-,0.1,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,CARE,marginal,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,CARE,mondrian,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,LLMOnly,-,0.2,errors,0.0,0.0,1.0,0.0,True,True,holoclean:csvs/holoclean_hospital_mapped.csv
hospital,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,False,holoclean:csvs/holoclean_hospital_mapped.csv
