dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
tax,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,LLMOnly,-,0.05,detected,0.0,0.9764956809214034,0.023504319078596566,0.9770075717180335,False,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,LLMOnly,-,0.1,detected,0.0,0.9764956809214034,0.023504319078596566,0.9770075717180335,False,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,LLMOnly,-,0.2,detected,0.0,0.9764956809214034,0.023504319078596566,0.9770075717180335,False,True,jellyfish:csvs/jellyfish_tax_mapped.csv
tax,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_tax_mapped.csv
