dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
flights,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,CARE,mondrian,0.05,detected,0.6833631484794277,0.005273069679849318,0.47844202898550725,0.006591337099811634,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,LLMOnly,-,0.05,detected,0.0,0.0843768634466309,0.915623136553369,0.08598688133571855,False,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,CARE,mondrian,0.1,detected,0.31961836612999406,0.022787028921998277,0.7913413768630233,0.02497808939526732,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,LLMOnly,-,0.1,detected,0.0,0.0843768634466309,0.915623136553369,0.08598688133571855,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,CARE,marginal,0.2,detected,0.0,0.0843768634466309,0.915623136553369,0.08598688133571855,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,CARE,mondrian,0.2,detected,0.31961836612999406,0.022787028921998277,0.7913413768630233,0.02497808939526732,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,LLMOnly,-,0.2,detected,0.0,0.0843768634466309,0.915623136553369,0.08598688133571855,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
flights,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_flights_mapped.csv
