dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,LLMOnly,-,0.05,detected,0.0,0.24609375,0.75390625,0.2640625,False,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,LLMOnly,-,0.1,detected,0.0,0.24609375,0.75390625,0.2640625,False,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,LLMOnly,-,0.2,detected,0.0,0.24609375,0.75390625,0.2640625,False,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
hospital,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,baran_raha:csvs/baran_raha_hospital_mapped.csv
