dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
tax,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.05,detected,0.060883156079333145,0.0,0.968602636674418,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.05,detected,0.0,0.060771068753031635,0.9392289312469684,0.06114294953559816,False,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,marginal,0.1,detected,0.0,0.060771068753031635,0.9392289312469684,0.06114294953559816,True,True,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.1,detected,0.060883156079333145,0.0,0.968602636674418,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.1,detected,0.0,0.060771068753031635,0.9392289312469684,0.06114294953559816,True,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
tax,CARE,marginal,0.2,detected,0.0,0.060771068753031635,0.9392289312469684,0.06114294953559816,True,True,baran:csvs/baran_tax_mapped.csv
tax,CARE,mondrian,0.2,detected,0.060883156079333145,0.0,0.968602636674418,0.0,True,True,baran:csvs/baran_tax_mapped.csv
tax,LLMOnly,-,0.2,detected,0.0,0.060771068753031635,0.9392289312469684,0.06114294953559816,True,True,baran:csvs/baran_tax_mapped.csv
tax,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,False,baran:csvs/baran_tax_mapped.csv
