dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
beers,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian_src,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,LLMOnly,-,0.05,detected,0.0,0.8793706293706294,0.12062937062937062,0.8842657342657343,False,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian_src,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,LLMOnly,-,0.1,detected,0.0,0.8793706293706294,0.12062937062937062,0.8842657342657343,False,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,False,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian,0.2,detected,0.8726003490401396,0.0,0.22600619195046442,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,CARE,mondrian_src,0.2,detected,0.8726003490401396,0.0,0.22600619195046442,0.0,True,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,LLMOnly,-,0.2,detected,0.0,0.8793706293706294,0.12062937062937062,0.8842657342657343,False,True,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
beers,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,False,holoclean_keep:csvs/holoclean_keep_beers_mapped.csv
