dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian_src,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,LLMOnly,-,0.05,detected,0.0,0.536283185840708,0.46371681415929206,0.5539823008849557,False,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian_src,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,LLMOnly,-,0.1,detected,0.0,0.536283185840708,0.46371681415929206,0.5539823008849557,False,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,False,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,False,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,CARE,mondrian_src,0.2,detected,0.6637168141592921,0.0,0.5033112582781457,0.0,True,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,LLMOnly,-,0.2,detected,0.0,0.536283185840708,0.46371681415929206,0.5539823008849557,False,True,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
hospital,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,False,holoclean_keep:csvs/holoclean_keep_hospital_mapped.csv
