dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
hospital,CARE,marginal,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,CARE,mondrian,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,LLMOnly,-,0.05,detected,0.0,0.44800000000000006,0.5519999999999999,0.46133333333333343,False,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,NoOp,-,0.05,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,CARE,marginal,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,CARE,mondrian,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,LLMOnly,-,0.1,detected,0.0,0.44800000000000006,0.5519999999999999,0.46133333333333343,False,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,NoOp,-,0.1,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,CARE,marginal,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,CARE,mondrian,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,LLMOnly,-,0.2,detected,0.0,0.44800000000000006,0.5519999999999999,0.46133333333333343,False,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
hospital,NoOp,-,0.2,detected,1.0,0.0,0.0,0.0,True,True,jellyfish:csvs/jellyfish_hospital_mapped.csv
