dataset,baseline,strata,alpha,scoring,human_cost,realized_error,repair_f1,err_hi,covered,on_pareto_front,backend
rayyan_ni_inner30,CARE,marginal,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,CARE,mondrian,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,LLMOnly,-,0.05,errors,0.0,0.8060029282576867,0.19399707174231334,0.8108345534407027,False,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,NoOp,-,0.05,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,CARE,marginal,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,CARE,mondrian,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,LLMOnly,-,0.1,errors,0.0,0.8060029282576867,0.19399707174231334,0.8108345534407027,False,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,NoOp,-,0.1,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,CARE,marginal,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,CARE,mondrian,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,LLMOnly,-,0.2,errors,0.0,0.8060029282576867,0.19399707174231334,0.8108345534407027,False,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
rayyan_ni_inner30,NoOp,-,0.2,errors,1.0,0.0,0.0,0.0,True,True,baran:csvs/baran_rayyan_ni_inner30_mapped.csv
