proposer,dataset,alpha,n_lambda,delta,seeds,automation,realized_error,violations
Baran,hospital,0.2,5,0.05,10,1.0,0.0673,0
Baran,hospital,0.2,5,0.1,10,1.0,0.0673,0
Baran,hospital,0.2,5,0.2,10,1.0,0.0673,0
Baran,hospital,0.2,17,0.05,10,0.858,0.0598,0
Baran,hospital,0.2,17,0.1,10,0.858,0.0598,0
Baran,hospital,0.2,17,0.2,10,1.0,0.0673,0
Baran,hospital,0.2,50,0.05,10,0.787,0.0557,0
Baran,hospital,0.2,50,0.1,10,0.858,0.0598,0
Baran,hospital,0.2,50,0.2,10,0.858,0.0598,0
Baran,beers,0.2,5,0.05,10,0.7992,0.0254,0
Baran,beers,0.2,5,0.1,10,0.7992,0.0254,0
Baran,beers,0.2,5,0.2,10,0.7992,0.0254,0
Baran,beers,0.2,17,0.05,10,0.7992,0.0254,0
Baran,beers,0.2,17,0.1,10,0.7992,0.0254,0
Baran,beers,0.2,17,0.2,10,0.7992,0.0254,0
Baran,beers,0.2,50,0.05,10,0.7877,0.0257,0
Baran,beers,0.2,50,0.1,10,0.7992,0.0254,0
Baran,beers,0.2,50,0.2,10,0.7992,0.0254,0
BClean,flights,0.2,5,0.05,10,0.1394,0.0209,0
BClean,flights,0.2,5,0.1,10,0.1469,0.0265,0
BClean,flights,0.2,5,0.2,10,0.1629,0.0384,0
BClean,flights,0.2,17,0.05,10,0.1894,0.0337,0
BClean,flights,0.2,17,0.1,10,0.19,0.0357,0
BClean,flights,0.2,17,0.2,10,0.191,0.0397,0
BClean,flights,0.2,50,0.05,10,0.1748,0.0273,0
BClean,flights,0.2,50,0.1,10,0.189,0.0311,0
BClean,flights,0.2,50,0.2,10,0.1894,0.0331,0
Jellyfish,beers,0.2,5,0.05,10,0.0382,0.0039,0
Jellyfish,beers,0.2,5,0.1,10,0.0382,0.0039,0
Jellyfish,beers,0.2,5,0.2,10,0.0382,0.0039,0
Jellyfish,beers,0.2,17,0.05,10,0.0382,0.0039,0
Jellyfish,beers,0.2,17,0.1,10,0.0382,0.0039,0
Jellyfish,beers,0.2,17,0.2,10,0.0382,0.0039,0
Jellyfish,beers,0.2,50,0.05,10,0.0382,0.0039,0
Jellyfish,beers,0.2,50,0.1,10,0.0382,0.0039,0
Jellyfish,beers,0.2,50,0.2,10,0.0382,0.0039,0
