proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,draw,alpha,n,error_cells,coverage,acc,pi0,pi_alpha,pi_alpha_floor,n_strata,strata_certifiable,A,A_queue,R,covered,gap,empty,predicted_empty
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0,0.05,1248,2115,0.5901,0.4896,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0,0.1,1248,2115,0.5901,0.4896,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0,0.2,1248,2115,0.5901,0.4896,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,1,0.05,1458,2115,0.6894,0.3663,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,1,0.1,1458,2115,0.6894,0.3663,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,1,0.2,1458,2115,0.6894,0.3663,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,2,0.05,955,2115,0.4515,0.355,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,2,0.1,955,2115,0.4515,0.355,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,2,0.2,955,2115,0.4515,0.355,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,3,0.05,1479,2115,0.6993,0.4828,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,3,0.1,1479,2115,0.6993,0.4828,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,3,0.2,1479,2115,0.6993,0.4828,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0,0.05,1248,2115,0.5901,0.4896,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0,0.1,1248,2115,0.5901,0.4896,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0,0.2,1248,2115,0.5901,0.4896,0.0,0.1675,0.1675,10,1,0.0,0.0,0.0,True,-0.1675,True,False
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,1,0.05,1458,2115,0.6894,0.3663,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,1,0.1,1458,2115,0.6894,0.3663,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,1,0.2,1458,2115,0.6894,0.3663,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,2,0.05,955,2115,0.4515,0.355,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,2,0.1,955,2115,0.4515,0.355,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,2,0.2,955,2115,0.4515,0.355,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,3,0.05,1479,2115,0.6993,0.4828,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,3,0.1,1479,2115,0.6993,0.4828,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,3,0.2,1479,2115,0.6993,0.4828,0.0,0.4442,0.4442,10,3,0.0139,0.0097,0.0177,True,-0.4303,False,False
