proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,alpha,draws,n,coverage,acc,pi0,pi_alpha,pi_alpha_floor,A,A_min,A_max,A_queue,R,covered,R_max,gap,empty,predicted_empty
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0.05,4,1353.0,0.6398,0.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0.1,4,1353.0,0.6398,0.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,marginal,marginal,0.2,4,1353.0,0.6398,0.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0.05,4,1353.0,0.6398,0.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0.1,4,1353.0,0.6398,0.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,10,beers_ni_inner10,0.08776,mondrian,column,0.2,4,1353.0,0.6398,0.4245,0.0,0.0838,0.0838,0.0,0.0,0.0139,0.0,0.0,True,0.0177,-0.0838,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,0.05,4,1827.0,0.3171,0.2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,0.1,4,1827.0,0.3171,0.2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,marginal,marginal,0.2,4,1827.0,0.3171,0.2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0.05,4,1827.0,0.3171,0.2087,0.0,0.076,0.076,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.076,True,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0.1,4,1827.0,0.3171,0.2087,0.0,0.076,0.076,0.0532,0.0,0.1548,0.019,0.0112,True,0.0223,-0.0228,False,False
baran,beers,inner,30,beers_ni_inner30,0.23909,mondrian,column,0.2,4,1827.0,0.3171,0.2087,0.0,0.076,0.076,0.076,0.0,0.2212,0.0271,0.0143,True,0.0287,0.0,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0.05,4,3042.0,0.3499,0.1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0.1,4,3042.0,0.3499,0.1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,marginal,marginal,0.2,4,3042.0,0.3499,0.1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0.05,4,3042.0,0.3499,0.1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0.1,4,3042.0,0.3499,0.1877,0.0,0.0568,0.0568,0.0069,0.0,0.0227,0.0027,0.0029,True,0.0133,-0.0455,False,False
baran,beers,inner,50,beers_ni_inner50,0.36071,mondrian,column,0.2,4,3042.0,0.3499,0.1877,0.0,0.0568,0.0568,0.0568,0.0,0.1394,0.0267,0.0245,True,0.0491,0.0,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0.05,4,4931.5,0.4459,0.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0.1,4,4931.5,0.4459,0.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,0.2,4,4931.5,0.4459,0.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0.05,4,4931.5,0.4459,0.1562,0.0,0.1122,0.1122,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.1122,True,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0.1,4,4931.5,0.4459,0.1562,0.0,0.119,0.117,0.0783,0.0537,0.1071,0.0361,0.0334,True,0.0467,-0.034,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0.2,4,4931.5,0.4459,0.1562,0.0,0.119,0.117,0.1171,0.1094,0.1341,0.0522,0.0483,True,0.0507,0.0001,False,False
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,0.05,3,1074.0,0.8112,0.6397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,0.1,3,1074.0,0.8112,0.6397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,0.2,3,1074.0,0.8112,0.6397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
