proposer,dataset,partition,draw,base,kind,level,cell_error_rate,error_cells,coverage,log,n,acc,n_strata,stratifier,pi0,pi05,pi05_floor,strata05,need05,pi1,pi1_floor,strata1,need1,pi2,pi2_floor,strata2,need2
baran,tax,marginal,0,tax,-,,,121219,0.9998,csvs/baran_tax_mapped.csv,121193,0.732,1,marginal,0.0,0.0,0.0,0,263,0.0,0.0,0,128,0.0,0.0,0,60
baran,tax,marginal,1,tax,-,,,121219,0.783,csvs/baran_var_tax/1/baran_tax_mapped.csv,94914,0.9345,1,marginal,0.0,0.0,0.0,0,263,1.0,1.0,1,128,1.0,1.0,1,60
baran,tax,marginal,2,tax,-,,,121219,1.0,csvs/baran_var_tax/2/baran_tax_mapped.csv,121219,0.8841,1,marginal,0.0,0.0,0.0,0,263,0.0,0.0,0,128,1.0,1.0,1,60
baran,tax,marginal,3,tax,-,,,121219,1.0,csvs/baran_var_tax/3/baran_tax_mapped.csv,121219,0.8938,1,marginal,0.0,0.0,0.0,0,263,0.0,0.0,0,128,1.0,1.0,1,60
baran,tax,marginal,4,tax,-,,,121219,1.0,csvs/baran_var_tax/4/baran_tax_mapped.csv,121219,0.956,1,marginal,0.0,1.0,1.0,1,263,1.0,1.0,1,128,1.0,1.0,1,60
baran,tax,marginal,5,tax,-,,,121219,1.0,csvs/baran_var_tax/5/baran_tax_mapped.csv,121219,0.9532,1,marginal,0.0,1.0,1.0,1,263,1.0,1.0,1,128,1.0,1.0,1,60
baran,tax,mondrian,0,tax,-,,,121219,0.9998,csvs/baran_tax_mapped.csv,121193,0.732,10,column,0.7271,0.7271,0.7206,1,263,0.7271,0.7271,5,128,0.7288,0.7288,6,60
baran,tax,mondrian,1,tax,-,,,121219,0.783,csvs/baran_var_tax/1/baran_tax_mapped.csv,94914,0.9345,10,column,0.0105,0.9308,0.9202,1,263,0.9308,0.9308,6,128,0.9308,0.9308,6,60
baran,tax,mondrian,2,tax,-,,,121219,1.0,csvs/baran_var_tax/2/baran_tax_mapped.csv,121219,0.8841,10,column,0.0066,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.7337,0.7337,7,60
baran,tax,mondrian,3,tax,-,,,121219,1.0,csvs/baran_var_tax/3/baran_tax_mapped.csv,121219,0.8938,10,column,0.7288,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.7337,0.7337,7,60
baran,tax,mondrian,4,tax,-,,,121219,1.0,csvs/baran_var_tax/4/baran_tax_mapped.csv,121219,0.956,10,column,0.7288,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.9871,0.9871,7,60
baran,tax,mondrian,5,tax,-,,,121219,1.0,csvs/baran_var_tax/5/baran_tax_mapped.csv,121219,0.9532,10,column,0.7321,0.7337,0.7255,2,263,0.7337,0.7337,7,128,0.992,0.992,8,60
baran,tax,column,0,tax,-,,,121219,0.9998,csvs/baran_tax_mapped.csv,121193,0.732,10,column,0.7271,0.7271,0.7206,1,263,0.7271,0.7271,5,128,0.7288,0.7288,6,60
baran,tax,column,1,tax,-,,,121219,0.783,csvs/baran_var_tax/1/baran_tax_mapped.csv,94914,0.9345,10,column,0.0105,0.9308,0.9202,1,263,0.9308,0.9308,6,128,0.9308,0.9308,6,60
baran,tax,column,2,tax,-,,,121219,1.0,csvs/baran_var_tax/2/baran_tax_mapped.csv,121219,0.8841,10,column,0.0066,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.7337,0.7337,7,60
baran,tax,column,3,tax,-,,,121219,1.0,csvs/baran_var_tax/3/baran_tax_mapped.csv,121219,0.8938,10,column,0.7288,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.7337,0.7337,7,60
baran,tax,column,4,tax,-,,,121219,1.0,csvs/baran_var_tax/4/baran_tax_mapped.csv,121219,0.956,10,column,0.7288,0.7288,0.7205,1,263,0.7288,0.7288,6,128,0.9871,0.9871,7,60
baran,tax,column,5,tax,-,,,121219,1.0,csvs/baran_var_tax/5/baran_tax_mapped.csv,121219,0.9532,10,column,0.7321,0.7337,0.7255,2,263,0.7337,0.7337,7,128,0.992,0.992,8,60
