proposer,dataset,partition,draw,stratum,repairs,correct,error_rate
baran,tax,mondrian,0,col:rate,87331,87331,0.0
baran,tax,mondrian,0,col:zip,31308,55,0.9982
baran,tax,mondrian,0,col:l_name,693,157,0.7734
baran,tax,mondrian,0,col:state,599,149,0.7513
baran,tax,mondrian,0,col:f_name,271,61,0.7749
baran,tax,mondrian,0,col:child_exemp,199,199,0.0
baran,tax,mondrian,0,col:single_exemp,199,199,0.0
baran,tax,mondrian,0,col:marital_status,198,198,0.0
baran,tax,mondrian,0,col:has_child,198,198,0.0
baran,tax,mondrian,0,col:city,197,161,0.1827
baran,tax,column,0,col:rate,87331,87331,0.0
baran,tax,column,0,col:zip,31308,55,0.9982
baran,tax,column,0,col:l_name,693,157,0.7734
baran,tax,column,0,col:state,599,149,0.7513
baran,tax,column,0,col:f_name,271,61,0.7749
baran,tax,column,0,col:child_exemp,199,199,0.0
baran,tax,column,0,col:single_exemp,199,199,0.0
baran,tax,column,0,col:marital_status,198,198,0.0
baran,tax,column,0,col:has_child,198,198,0.0
baran,tax,column,0,col:city,197,161,0.1827
baran,tax,mondrian,1,col:rate,87342,87037,0.0035
baran,tax,mondrian,1,col:zip,5006,230,0.9541
baran,tax,mondrian,1,col:l_name,694,158,0.7723
baran,tax,mondrian,1,col:state,600,207,0.655
baran,tax,mondrian,1,col:f_name,272,62,0.7721
baran,tax,mondrian,1,col:marital_status,200,200,0.0
baran,tax,mondrian,1,col:has_child,200,200,0.0
baran,tax,mondrian,1,col:child_exemp,200,200,0.0
baran,tax,mondrian,1,col:single_exemp,200,200,0.0
baran,tax,mondrian,1,col:city,200,200,0.0
baran,tax,column,1,col:rate,87342,87037,0.0035
baran,tax,column,1,col:zip,5006,230,0.9541
baran,tax,column,1,col:l_name,694,158,0.7723
baran,tax,column,1,col:state,600,207,0.655
baran,tax,column,1,col:f_name,272,62,0.7721
baran,tax,column,1,col:marital_status,200,200,0.0
baran,tax,column,1,col:has_child,200,200,0.0
baran,tax,column,1,col:child_exemp,200,200,0.0
baran,tax,column,1,col:single_exemp,200,200,0.0
baran,tax,column,1,col:city,200,200,0.0
baran,tax,mondrian,2,col:rate,87342,86157,0.0136
baran,tax,mondrian,2,col:zip,31311,19314,0.3832
baran,tax,mondrian,2,col:l_name,694,158,0.7723
baran,tax,mondrian,2,col:state,600,481,0.1983
baran,tax,mondrian,2,col:f_name,272,64,0.7647
baran,tax,mondrian,2,col:marital_status,200,200,0.0
baran,tax,mondrian,2,col:has_child,200,200,0.0
baran,tax,mondrian,2,col:child_exemp,200,200,0.0
baran,tax,mondrian,2,col:single_exemp,200,200,0.0
baran,tax,mondrian,2,col:city,200,196,0.02
baran,tax,column,2,col:rate,87342,86157,0.0136
baran,tax,column,2,col:zip,31311,19314,0.3832
baran,tax,column,2,col:l_name,694,158,0.7723
baran,tax,column,2,col:state,600,481,0.1983
baran,tax,column,2,col:f_name,272,64,0.7647
baran,tax,column,2,col:marital_status,200,200,0.0
baran,tax,column,2,col:has_child,200,200,0.0
baran,tax,column,2,col:child_exemp,200,200,0.0
baran,tax,column,2,col:single_exemp,200,200,0.0
baran,tax,column,2,col:city,200,196,0.02
baran,tax,mondrian,3,col:rate,87342,87342,0.0
baran,tax,mondrian,3,col:zip,31311,19313,0.3832
baran,tax,mondrian,3,col:l_name,694,158,0.7723
baran,tax,mondrian,3,col:state,600,482,0.1967
baran,tax,mondrian,3,col:f_name,272,55,0.7978
baran,tax,mondrian,3,col:marital_status,200,200,0.0
baran,tax,mondrian,3,col:has_child,200,200,0.0
baran,tax,mondrian,3,col:child_exemp,200,200,0.0
baran,tax,mondrian,3,col:single_exemp,200,200,0.0
baran,tax,mondrian,3,col:city,200,200,0.0
baran,tax,column,3,col:rate,87342,87342,0.0
baran,tax,column,3,col:zip,31311,19313,0.3832
baran,tax,column,3,col:l_name,694,158,0.7723
baran,tax,column,3,col:state,600,482,0.1967
baran,tax,column,3,col:f_name,272,55,0.7978
baran,tax,column,3,col:marital_status,200,200,0.0
baran,tax,column,3,col:has_child,200,200,0.0
baran,tax,column,3,col:child_exemp,200,200,0.0
baran,tax,column,3,col:single_exemp,200,200,0.0
baran,tax,column,3,col:city,200,200,0.0
baran,tax,mondrian,4,col:rate,87342,87342,0.0
baran,tax,mondrian,4,col:zip,31311,26939,0.1396
baran,tax,mondrian,4,col:l_name,694,158,0.7723
baran,tax,mondrian,4,col:state,600,379,0.3683
baran,tax,mondrian,4,col:f_name,272,64,0.7647
baran,tax,mondrian,4,col:marital_status,200,200,0.0
baran,tax,mondrian,4,col:has_child,200,200,0.0
baran,tax,mondrian,4,col:child_exemp,200,200,0.0
baran,tax,mondrian,4,col:single_exemp,200,200,0.0
baran,tax,mondrian,4,col:city,200,200,0.0
baran,tax,column,4,col:rate,87342,87342,0.0
baran,tax,column,4,col:zip,31311,26939,0.1396
baran,tax,column,4,col:l_name,694,158,0.7723
baran,tax,column,4,col:state,600,379,0.3683
baran,tax,column,4,col:f_name,272,64,0.7647
baran,tax,column,4,col:marital_status,200,200,0.0
baran,tax,column,4,col:has_child,200,200,0.0
baran,tax,column,4,col:child_exemp,200,200,0.0
baran,tax,column,4,col:single_exemp,200,200,0.0
baran,tax,column,4,col:city,200,200,0.0
baran,tax,mondrian,5,col:rate,87342,87342,0.0
baran,tax,mondrian,5,col:zip,31311,26399,0.1569
baran,tax,mondrian,5,col:l_name,694,158,0.7723
baran,tax,mondrian,5,col:state,600,600,0.0
baran,tax,mondrian,5,col:f_name,272,55,0.7978
baran,tax,mondrian,5,col:marital_status,200,200,0.0
